pathway,M1(n=43),M2(n=22),M3(n=18),M4(n=14),M5(n=12),M6(n=9),M7(n=5),M8(n=5)
Denitrification,0.2977,0.3000,0.2944,0.2571,0.2250,0.3889,0.2800,0.2400
DNRA,0.2965,0.2500,0.2639,0.1786,0.2917,0.3056,0.1500,0.3000
PolyP,0.4651,0.3939,0.4444,0.4286,0.4167,0.5185,0.4667,0.4000
Phosphate,0.7180,0.6875,0.7778,0.5179,0.6667,0.8611,0.9500,0.8750
PHA,0.5116,0.5455,0.5694,0.5893,0.5208,0.7222,0.7000,0.4000
Glycogen,0.5535,0.4091,0.4333,0.2571,0.4667,0.6222,0.4400,0.6000
Acetate,0.4419,0.5303,0.4815,0.3810,0.5278,0.5926,0.4667,0.5333
Propionate/PHV,0.3721,0.3364,0.3222,0.2429,0.3667,0.4444,0.3200,0.2800
