pathway,M1(n=4),M2(n=3),M3(n=3),M4(n=3),M5(n=2),M6(n=2),M7(n=2),M8(n=2),M9(n=2)
Denitrification,0.1750,0.4667,0.3000,0.3000,0.5000,0.2500,0.3500,0.3500,0.0000
DNRA,0.0000,0.4167,0.4167,0.0000,0.2500,0.5000,0.0000,0.2500,0.6250
PolyP,0.3333,0.5556,0.6667,0.3333,0.5000,0.5000,0.5000,0.6667,0.3333
Phosphate,0.5938,1.0000,0.9583,0.2500,0.8750,0.5000,0.5000,0.9375,0.9375
PHA,0.5625,0.7500,0.5000,0.3333,0.8750,0.7500,0.5000,0.8750,0.6250
Glycogen,0.3500,0.6000,0.6000,0.4667,0.0000,0.6000,0.6000,0.5000,0.5000
Acetate,0.2500,0.7778,0.4444,0.4444,1.0000,0.5000,0.6667,0.6667,0.6667
Propionate/PHV,0.2500,0.4667,0.4000,0.3333,0.3000,0.5000,0.3000,0.4000,0.3000
