MAG	category	KO	gene	copies
coasm_bin.481	Glycogen synthesis	K00703	glgA	1
coasm_bin.55	Glycogen synthesis	K00700	glgB	3
CAN_2_bin.6	Glycogen synthesis	K00700	glgB	1
CAN_1_bin.210	Glycogen synthesis	K00700	glgB	0
CAN_1_bin.77	Glycogen synthesis	K00700	glgB	0
CAN_5_bin.112	Glycogen synthesis	K00700	glgB	1
coasm_bin.260	Glycogen synthesis	K00700	glgB	1
coasm_bin.481	Glycogen synthesis	K00700	glgB	2
coasm_bin.55	Glycogen degradation	K00688	glgP	1
CAN_2_bin.6	Glycogen degradation	K00688	glgP	1
CAN_1_bin.210	Glycogen degradation	K00688	glgP	0
CAN_1_bin.77	Glycogen degradation	K00688	glgP	1
CAN_5_bin.112	Glycogen degradation	K00688	glgP	1
coasm_bin.260	Glycogen degradation	K00688	glgP	2
coasm_bin.481	Glycogen degradation	K00688	glgP	1
coasm_bin.55	Glycogen degradation	K01214	glgX	3
CAN_2_bin.6	Glycogen degradation	K01214	glgX	1
CAN_1_bin.210	Glycogen degradation	K01214	glgX	0
CAN_1_bin.77	Glycogen degradation	K01214	glgX	1
CAN_5_bin.112	Glycogen degradation	K01214	glgX	0
coasm_bin.260	Glycogen degradation	K01214	glgX	2
coasm_bin.481	Glycogen degradation	K01214	glgX	1
coasm_bin.55	Glycogen degradation	K00705	malQ	1
CAN_2_bin.6	Glycogen degradation	K00705	malQ	1
CAN_1_bin.210	Glycogen degradation	K00705	malQ	0
CAN_1_bin.77	Glycogen degradation	K00705	malQ	1
CAN_5_bin.112	Glycogen degradation	K00705	malQ	1
coasm_bin.260	Glycogen degradation	K00705	malQ	1
coasm_bin.481	Glycogen degradation	K00705	malQ	1
coasm_bin.55	PHA cycling	K00626	phaA	0
CAN_2_bin.6	PHA cycling	K00626	phaA	1
CAN_1_bin.210	PHA cycling	K00626	phaA	1
CAN_1_bin.77	PHA cycling	K00626	phaA	1
CAN_5_bin.112	PHA cycling	K00626	phaA	2
coasm_bin.260	PHA cycling	K00626	phaA	1
coasm_bin.481	PHA cycling	K00626	phaA	2
coasm_bin.55	PHA cycling	K00023	phaB	1
CAN_2_bin.6	PHA cycling	K00023	phaB	2
CAN_1_bin.210	PHA cycling	K00023	phaB	2
CAN_1_bin.77	PHA cycling	K00023	phaB	0
CAN_5_bin.112	PHA cycling	K00023	phaB	0
coasm_bin.260	PHA cycling	K00023	phaB	0
coasm_bin.481	PHA cycling	K00023	phaB	0
coasm_bin.55	PHA cycling	K03821	phaC	2
CAN_2_bin.6	PHA cycling	K03821	phaC	3
CAN_1_bin.210	PHA cycling	K03821	phaC	1
CAN_1_bin.77	PHA cycling	K03821	phaC	0
CAN_5_bin.112	PHA cycling	K03821	phaC	0
coasm_bin.260	PHA cycling	K03821	phaC	0
coasm_bin.481	PHA cycling	K03821	phaC	0
coasm_bin.55	PHA cycling	K05973	phaZ	0
CAN_2_bin.6	PHA cycling	K05973	phaZ	0
CAN_1_bin.210	PHA cycling	K05973	phaZ	1
CAN_1_bin.77	PHA cycling	K05973	phaZ	0
CAN_5_bin.112	PHA cycling	K05973	phaZ	0
coasm_bin.260	PHA cycling	K05973	phaZ	0
coasm_bin.481	PHA cycling	K05973	phaZ	0
coasm_bin.55	Gluconeogenesis	K00134	gapA	1
CAN_2_bin.6	Gluconeogenesis	K00134	gapA	1
CAN_1_bin.210	Gluconeogenesis	K00134	gapA	1
CAN_1_bin.77	Gluconeogenesis	K00134	gapA	1
CAN_5_bin.112	Gluconeogenesis	K00134	gapA	1
coasm_bin.260	Gluconeogenesis	K00134	gapA	1
coasm_bin.481	Gluconeogenesis	K00134	gapA	1
coasm_bin.55	Gluconeogenesis	K01596	pckA(GTP)	1
CAN_2_bin.6	Gluconeogenesis	K01596	pckA(GTP)	1
CAN_1_bin.210	Gluconeogenesis	K01596	pckA(GTP)	1
CAN_1_bin.77	Gluconeogenesis	K01596	pckA(GTP)	1
CAN_5_bin.112	Gluconeogenesis	K01596	pckA(GTP)	1
coasm_bin.260	Gluconeogenesis	K01596	pckA(GTP)	1
coasm_bin.481	Gluconeogenesis	K01596	pckA(GTP)	1
coasm_bin.55	Gluconeogenesis	K01610	pckA(ATP)	0
CAN_2_bin.6	Gluconeogenesis	K01610	pckA(ATP)	0
CAN_1_bin.210	Gluconeogenesis	K01610	pckA(ATP)	0
CAN_1_bin.77	Gluconeogenesis	K01610	pckA(ATP)	1
CAN_5_bin.112	Gluconeogenesis	K01610	pckA(ATP)	0
coasm_bin.260	Gluconeogenesis	K01610	pckA(ATP)	0
coasm_bin.481	Gluconeogenesis	K01610	pckA(ATP)	1
coasm_bin.55	Gluconeogenesis	K01006	ppdk	1
CAN_2_bin.6	Gluconeogenesis	K01006	ppdk	1
CAN_1_bin.210	Gluconeogenesis	K01006	ppdk	0
CAN_1_bin.77	Gluconeogenesis	K01006	ppdk	1
