MAG	KO	gene	protein_id	score	score_type	threshold
CAN_1_bin.210	K03832	tonB	CAN_1_bin.210|AFNKDI_01198	74.6	domain	34.90
CAN_1_bin.210	K03832	tonB	CAN_1_bin.210|AFNKDI_01753	108.3	domain	34.90
CAN_1_bin.210	K03832	tonB	CAN_1_bin.210|AFNKDI_01791	76.9	domain	34.90
CAN_1_bin.210	K03832	tonB	CAN_1_bin.210|AFNKDI_01970	106.2	domain	34.90
CAN_1_bin.210	K03841	fbp	CAN_1_bin.210|AFNKDI_02088	450.6	full	204.73
CAN_1_bin.210	K05973	phaZ	CAN_1_bin.210|AFNKDI_03082	635.3	full	82.90
CAN_1_bin.210	K07657	phoB	CAN_1_bin.210|AFNKDI_00552	350.9	domain	304.03
CAN_1_bin.210	K16092	btuB	CAN_1_bin.210|AFNKDI_01694	541.3	full	417.03
CAN_1_bin.210	K22468	ppk2	CAN_1_bin.210|AFNKDI_00888	406.3	domain	279.07
CAN_1_bin.77	K00134	gapA	CAN_1_bin.77|DLHCAE_00451	468.3	full	403.30
CAN_1_bin.77	K00626	phaA	CAN_1_bin.77|DLHCAE_01428	589.2	full	498.47
CAN_1_bin.77	K00652	bioF	CAN_1_bin.77|DLHCAE_02641	454.7	domain	453.00
CAN_1_bin.77	K00688	glgP	CAN_1_bin.77|DLHCAE_00668	1094.0	domain	72.63
CAN_1_bin.77	K00703	glgA	CAN_1_bin.77|DLHCAE_01759	548.5	domain	122.93
CAN_1_bin.77	K00705	malQ	CAN_1_bin.77|DLHCAE_01301	475.6	full	82.80
CAN_1_bin.77	K00925	ackA	CAN_1_bin.77|DLHCAE_03015	557.0	full	173.57
CAN_1_bin.77	K00937	ppk1	CAN_1_bin.77|DLHCAE_01812	1046.9	full	310.13
CAN_1_bin.77	K00975	glgC	CAN_1_bin.77|DLHCAE_01262	530.9	full	189.93
CAN_1_bin.77	K00975	glgC	CAN_1_bin.77|DLHCAE_01505	490.5	full	189.93
CAN_1_bin.77	K00975	glgC	CAN_1_bin.77|DLHCAE_04447	462.6	full	189.93
CAN_1_bin.77	K01006	ppdk	CAN_1_bin.77|DLHCAE_02375	1486.5	domain	353.27
CAN_1_bin.77	K01012	bioB	CAN_1_bin.77|DLHCAE_02073	176.0	full	159.77
CAN_1_bin.77	K01176	amyA	CAN_1_bin.77|DLHCAE_01261	257.1	domain	234.97
CAN_1_bin.77	K01214	glgX	CAN_1_bin.77|DLHCAE_03327	1004.0	full	974.53
CAN_1_bin.77	K01596	pckA(GTP)	CAN_1_bin.77|DLHCAE_01126	956.0	full	129.60
CAN_1_bin.77	K01610	pckA(ATP)	CAN_1_bin.77|DLHCAE_02637	801.9	full	90.40
CAN_1_bin.77	K01848	mcm-N	CAN_1_bin.77|DLHCAE_00217	855.7	domain	815.40
CAN_1_bin.77	K01848	mcm-N	CAN_1_bin.77|DLHCAE_02604	933.2	domain	815.40
CAN_1_bin.77	K01895	acs	CAN_1_bin.77|DLHCAE_04140	801.9	domain	758.93
CAN_1_bin.77	K01908	prpE	CAN_1_bin.77|DLHCAE_01659	1066.5	domain	759.70
CAN_1_bin.77	K02036	pstB	CAN_1_bin.77|DLHCAE_02262	458.0	domain	268.67
CAN_1_bin.77	K02036	pstB	CAN_1_bin.77|DLHCAE_03816	316.4	domain	268.67
CAN_1_bin.77	K02036	pstB	CAN_1_bin.77|DLHCAE_03817	373.1	domain	268.67
CAN_1_bin.77	K02037	pstC	CAN_1_bin.77|DLHCAE_02260	375.0	domain	261.23
CAN_1_bin.77	K02037	pstC	CAN_1_bin.77|DLHCAE_03814	355.0	domain	261.23
CAN_1_bin.77	K02038	pstA	CAN_1_bin.77|DLHCAE_02261	336.3	domain	248.13
CAN_1_bin.77	K02038	pstA	CAN_1_bin.77|DLHCAE_03815	329.5	domain	248.13
