ko_group	mag	CAN_1	CAN_2	CAN_3	CAN_4	CAN_5
norBC/nosZ	CAN_2_bin.125	19.1975	28.8335	33.0122	1.2341	0.4278
norBC/nosZ	CAN_2_bin.159	10.6776	9.9992	9.5872	15.0303	3.7397
norBC/nosZ	CAN_2_bin.6	21.9365	13.2232	14.3591	6.0279	0.7428
norBC/nosZ	CAN_3_bin.203	43.8644	54.2229	58.8415	52.6579	162.3253
norBC/nosZ	CAN_3_bin.221	31.6954	20.3168	21.7942	28.7938	11.0736
norBC/nosZ	CAN_4_bin.116	0.0000	0.0000	0.0000	0.0000	0.0000
norBC/nosZ	CAN_5_bin.106	911.6886	1042.5218	1079.6668	328.6241	160.0529
norBC/nosZ	CAN_5_bin.112	4.5821	5.6343	6.1755	10.5028	24.7993
norBC/nosZ	CAN_5_bin.147	16.6504	8.7641	10.1877	9.8223	6.3179
norBC/nosZ	CAN_5_bin.177	17.0819	15.1025	17.4817	11.6740	2.7312
norBC/nosZ	CAN_5_bin.40	38.5171	88.5861	84.3287	5.8276	4.1869
norBC/nosZ	CAN_5_bin.70	12.2482	10.3983	13.6234	33.9958	10.0366
norBC/nosZ	CAN_5_bin.90	0.0000	0.0000	0.0000	0.0000	0.0000
norBC/nosZ	coasm_bin.185	48.4026	24.5772	28.3399	88.0375	144.0475
norBC/nosZ	coasm_bin.260	2.2081	2.3045	2.4076	6.0056	10.0060
norBC/nosZ	coasm_bin.481	18.4283	9.9336	8.2908	22.1286	21.6036
norBC/nosZ	coasm_bin.55	12.0145	6.9749	5.9129	97.5484	70.2254
