ko_group	CAN_1_bin.210	CAN_1_bin.77	CAN_1_bin.98	CAN_2_bin.125	CAN_2_bin.159	CAN_2_bin.6	CAN_3_bin.203	CAN_3_bin.221	CAN_4_bin.116	CAN_5_bin.106	CAN_5_bin.112	CAN_5_bin.147	CAN_5_bin.177	CAN_5_bin.40	CAN_5_bin.70	coasm_bin.185	coasm_bin.260	coasm_bin.481	coasm_bin.55
nirB/D	0.000000	0.000000	1.383302	0.000000	0.000000	2.036825	2.085161	10.489994	0.743376	1.819614	0.000000	0.000000	0.000000	1.585535	2.613725	1.338937	0.000000	0.000000	0.739082
nirS	0.000000	0.000000	1.850324	0.000000	2.381218	4.242088	2.778057	0.000000	0.000000	0.000000	0.000000	0.000000	2.502018	1.711612	3.201862	1.466196	0.000000	0.000000	1.942369
nirK	3.344285	0.000000	0.000000	3.038320	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
norBC/nosZ	1.953971	2.403256	1.363900	2.102450	1.869637	0.984620	7.320536	3.353703	0.000000	9.539962	2.503252	2.675370	1.975917	7.633626	1.282287	1.551944	3.019999	2.544052	5.950215
