ko_group	CAN_1_bin.174	CAN_1_bin.210	CAN_1_bin.77	CAN_1_bin.98	CAN_2_bin.125	CAN_2_bin.159	CAN_2_bin.6	CAN_3_bin.203	CAN_3_bin.221	CAN_4_bin.116	CAN_5_bin.106	CAN_5_bin.112	CAN_5_bin.147	CAN_5_bin.177	CAN_5_bin.40	CAN_5_bin.70	CAN_5_bin.90	coasm_bin.185	coasm_bin.260	coasm_bin.481	coasm_bin.55
nirB/D	0.0000	0.0000	0.0000	38.9514	0.0000	0.0000	19.4972	24.4435	67.4718	8.2216	113.9292	0.0000	0.0000	0.0000	6.9752	33.7413	0.0000	68.9117	0.0000	0.0000	5.8755
nirS	0.0000	0.0000	0.0000	52.1020	0.0000	11.8228	40.6068	32.5660	0.0000	0.0000	0.0000	0.0000	0.0000	14.3347	7.5298	41.3338	0.0000	75.4614	0.0000	0.0000	15.4412
nirK	0.0000	16.2726	0.0000	0.0000	18.9352	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
norBC/nosZ	0.0000	9.5076	14.7177	38.4051	13.1027	9.2827	9.4251	85.8156	21.5711	0.0000	597.3137	12.4862	9.8095	11.3205	33.5823	16.5534	0.0000	79.8747	5.4883	17.3463	47.3023
