reference,querry,ani,alignment_coverage,primary_cluster
CAN_3_bin.210.fa,CAN_1_bin.104.fa,0.9621,45.98,182
CAN_3_bin.210.fa,CAN_2_bin.64.fa,0.9936,39.58,182
CAN_3_bin.210.fa,CAN_3_bin.210.fa,1.0,100.0,182
coasm_bin.222.fa,CAN_1_bin.104.fa,0.9643,48.26,182
coasm_bin.222.fa,CAN_2_bin.64.fa,0.9923000000000001,41.24,182
coasm_bin.222.fa,CAN_3_bin.210.fa,0.9962000000000001,90.91,182
coasm_bin.222.fa,coasm_bin.222.fa,1.0,100.0,182
CAN_1_bin.104.fa,CAN_2_bin.64.fa,0.9659,26.65,182
CAN_1_bin.104.fa,CAN_3_bin.210.fa,0.9621,57.1,182
CAN_2_bin.64.fa,CAN_3_bin.210.fa,0.9936,87.63,182
CAN_1_bin.104.fa,coasm_bin.222.fa,0.9643,58.29,182
CAN_2_bin.64.fa,coasm_bin.222.fa,0.9923000000000001,88.81,182
CAN_3_bin.210.fa,coasm_bin.222.fa,0.9962000000000001,88.42,182
CAN_1_bin.108.fa,CAN_1_bin.108.fa,1.0,100.0,91
CAN_2_bin.136.fa,CAN_1_bin.108.fa,0.9969,88.38,91
CAN_2_bin.136.fa,CAN_2_bin.136.fa,1.0,100.0,91
CAN_3_bin.40.fa,CAN_1_bin.108.fa,0.9965,89.73,91
CAN_3_bin.40.fa,CAN_2_bin.136.fa,0.9987999999999999,88.23,91
CAN_3_bin.40.fa,CAN_3_bin.40.fa,1.0,100.0,91
coasm_bin.542.fa,CAN_1_bin.108.fa,0.9992,85.24,91
coasm_bin.542.fa,CAN_2_bin.136.fa,0.9998,84.41,91
coasm_bin.542.fa,CAN_3_bin.40.fa,0.9998999999999999,76.43,91
coasm_bin.542.fa,coasm_bin.542.fa,1.0,100.0,91
CAN_1_bin.108.fa,CAN_2_bin.136.fa,0.9969,88.06,91
CAN_1_bin.108.fa,CAN_3_bin.40.fa,0.9965,79.46,91
CAN_2_bin.136.fa,CAN_3_bin.40.fa,0.9987999999999999,78.41,91
CAN_1_bin.108.fa,coasm_bin.542.fa,0.9992,97.84,91
CAN_2_bin.136.fa,coasm_bin.542.fa,0.9998,97.25,91
CAN_3_bin.40.fa,coasm_bin.542.fa,0.9998999999999999,99.08,91
CAN_1_bin.109.fa,CAN_1_bin.109.fa,1.0,100.0,88
CAN_3_bin.103.fa,CAN_1_bin.109.fa,0.9854999999999999,83.95,88
CAN_3_bin.103.fa,CAN_3_bin.103.fa,1.0,100.0,88
coasm_bin.88.fa,CAN_1_bin.109.fa,0.993,78.48,88
coasm_bin.88.fa,CAN_3_bin.103.fa,0.9908,76.69,88
coasm_bin.88.fa,coasm_bin.88.fa,1.0,100.0,88
CAN_1_bin.109.fa,CAN_3_bin.103.fa,0.9854999999999999,81.87,88
CAN_1_bin.109.fa,coasm_bin.88.fa,0.993,96.16,88
CAN_3_bin.103.fa,coasm_bin.88.fa,0.9908,96.36,88
CAN_1_bin.10.fa,CAN_1_bin.10.fa,1.0,100.0,195
CAN_2_bin.6.fa,CAN_1_bin.10.fa,0.9965999999999999,93.2,195
