,Acidovorax,Aeromonas,Anaerolineae,Azonexus,Azospira,Bacteria,Bosea,Ca_Accumulibacter,Ca_Caldilinea,Ca_Competibacter,Ca_Leptovillus,Ca_Sarcinithrix,Chitinophagaceae,Cloacibacterium,Comamonadaceae,Denitratisoma,Dokdonella,Edaphobaculum,Flavobacteriales,Flavobacterium,Flexifilaceae,Gracilibacteria,Holophagae,Hydrogenophaga,Ignavibacteria,Ignavibacteriales,Kapabacteriales,Leadbetterella,Lysobacter,Micavibrionales,Myxococcaceae,Pseudoxanthomonas,Rhizobiales,Rhodobacter,Rhodobacteraceae,Rhodospirillales,Rhodothermaceae,Saprospiraceae,Sphingobacteriales,Spirochaetaceae,Terrimonas,Thauera,Thermomonas,Williamwhitmaniaceae,Zoogloea,alphaI_cluster
Acidovorax,1.0,0.36583804890896104,-0.352906626409926,-0.049253490033733145,0.36658404031913183,0.29127483566544854,0.19868302200310758,-0.38107778145725746,-0.3936903574098209,0.16338042426143007,-0.44144015833972045,-0.25463257014028406,0.03715824127024647,0.2516269036281029,0.41501819265807294,0.2838798690849256,-0.020928897322745176,-0.20847061862786445,0.06383006808109966,0.3211114767802837,-0.08911659505168913,-0.24201909703824037,0.14604196826824678,0.39072951582877646,-0.1850765099024577,-0.07303632790048901,0.3561631841029689,-0.3082869538186188,-0.21192810104234333,-0.008132196173793946,0.28187842736725816,0.15515616548944222,-0.1115491814782679,-0.3334200431255518,-0.41253250250683776,0.2140603146945365,-0.3669368975929512,-0.20508478124326396,0.06582475770863401,0.2950719159099241,0.014852765841948189,0.4402740320959311,0.18334996615276833,0.0991909331829648,0.2633166939966284,-0.358333119074118
Aeromonas,0.36583804890896104,1.0,0.14803090892326062,0.3184681974496361,0.0883217438227493,-0.22103056539408233,-0.21881480437217854,0.1511786761727404,0.2200289307386335,-0.05502869473408665,0.04896208876236207,0.3142553715128475,0.14448555076004352,-0.2847018738085013,-0.043181643449681104,0.16867508967277325,-0.031449056428892994,-0.026409171382356388,0.28478708788020296,-0.2195613378619538,0.20377500530495632,0.2248667317787268,0.06636065683221369,-0.071677970493354,0.060580211519532724,0.2683614660510996,-0.2422332270114916,0.20615013877501828,0.11689662921931562,0.3602190376040992,-0.09599325554634994,-0.27053628705983107,0.16282541499581543,-0.034367895151137834,0.22569491178769702,0.0915481353583367,0.17324184804587792,0.22735464361014995,0.2155362083916488,0.19352936867447534,0.2820399455533843,-0.12058810172097822,0.011028210668896785,0.2993288294342298,-0.16377605172030363,0.22990351762575906
Anaerolineae,-0.352906626409926,0.14803090892326062,1.0,0.5789189189189189,-0.5333048851808284,-0.838647360902871,-0.7263664968218836,0.6922048364153627,0.9029302987197723,-0.24634423897581792,0.913058321479374,0.8777437962313419,-0.478977712507512,-0.8793870933076458,-0.7563015647226173,-0.18541859354109838,0.04421052631578947,0.2654195401969657,0.5572119487908961,-0.8803446514817689,0.6074822190611664,0.6283377211996912,0.010298719772403982,-0.7103223855333871,0.6092176386913228,0.5135135135135135,-0.7070999484282494,0.7846088193456615,0.5020483641536273,0.4459174964438122,-0.040095750472662894,-0.6568421052631578,0.3590896159317212,0.09692745376955902,0.8574964438122332,-0.13200188036880023,0.7067341405910503,0.8168421052631577,0.35982930298719773,-0.07457675420471381,0.4438691322901848,-0.950583214793741,-0.40499157232718436,0.3391962928641133,-0.8633181449231982,0.8763638972307677
Azonexus,-0.049253490033733145,0.3184681974496361,0.5789189189189189,1.0,0.036761986429794065,-0.5940478948283803,-0.7153600775336111,0.7711237553342816,0.5885917496443812,-0.38731152204836417,0.5476529160739687,0.48292197291235744,-0.33088729214244317,-0.7731229510668216,-0.4161593172119487,0.23149583954996886,-0.11559032716927453,-0.18538459480166133,0.7357041251778095,-0.6397980014897084,0.518321479374111,0.751134506487919,0.07578947368421052,-0.07208516797317155,0.6362446657183499,0.7055761024182076,-0.6377143032103163,0.43229018492176385,0.4658890469416785,0.502475106685633,-0.2324775528662912,-0.6843812233285917,0.5466287339971551,-0.04347083926031294,0.5364722617354196,-0.09913525625714537,0.2216915240421594,0.7004836415362731,0.5166998577524894,0.30069711500778923,0.6277667140825036,-0.5640682788051209,0.08168986891124635,0.710553335093594,-0.6566458763793933,0.6326196758303395
Azospira,0.36658404031913183,0.0883217438227493,-0.5333048851808284,0.036761986429794065,1.0,0.5465221342114324,0.3809048821017835,-0.18417982829725776,-0.537629824760804,0.27110542314479713,-0.5015222699779801,-0.5970121662684359,0.19099870284343165,0.3093626639536572,0.6078816393855422,0.6331649727908757,-0.2894579628098259,-0.6245609754940256,-0.15160051369809813,0.4352836687622145,-0.1623844090981693,-0.16697730710246098,-0.11828140680236374,0.592545115830081,-0.07002418622579196,0.11344430332475924,0.32653859396697865,-0.6571347342075031,-0.08536064960478497,0.08100725647494095,0.13199041671908238,0.2518992769837205,-0.05770379913283465,-0.041627543457266804,-0.524569645371272,0.27727908610139834,-0.6681556596330347,-0.19664248313955637,0.08743775874516808,0.34271485486624925,0.2451273321150742,0.5243704705221942,0.6586120062204256,0.2793544254945093,0.36251132101464867,-0.4839297159573964
Bacteria,0.29127483566544854,-0.22103056539408233,-0.838647360902871,-0.5940478948283803,0.5465221342114324,1.0,0.6789206850523861,-0.6789201278342817,-0.8060552687043462,0.42323530887738775,-0.7891674264225597,-0.7986641032469552,0.43835127795807705,0.8257070864819146,0.7016681957283805,0.13554540069203494,0.09555343239780051,-0.23555262613896955,-0.49684898036209807,0.8468676352756715,-0.4197133998887075,-0.7026996917665881,-0.2898935251174359,0.6389105827169632,-0.5419698307662558,-0.41506563474790814,0.8389996964936329,-0.7264370310750007,-0.396878727675215,-0.40640520280853043,0.18015454220119975,0.7404380627103279,-0.5309710822032462,-0.1615459237758585,-0.8614820331163635,0.1231392801974498,-0.5454540907664951,-0.651004668883021,-0.34592651976520955,0.043885764911055905,-0.5085116953737934,0.792054237069019,0.33114343385534173,-0.37113188486879983,0.6718280163032325,-0.8609947784533671
Bosea,0.19868302200310758,-0.21881480437217854,-0.7263664968218836,-0.7153600775336111,0.3809048821017835,0.6789206850523861,1.0,-0.7673475411069186,-0.6710199312579995,0.5720193338676428,-0.6326546983103071,-0.6414840190394278,0.23174936357107923,0.8029740390816916,0.7699347643422139,0.24103628535211113,0.02845945558824721,-0.19230349983152403,-0.6298244762076085,0.7341992236852156,-0.38533902749772386,-0.6701527774697963,-0.20574857043557526,0.36613494550085446,-0.47913659031544276,-0.5994496177821814,0.6431155969148087,-0.801310206339302,-0.3028623530907995,-0.5983203877513067,0.2462997275851246,0.8206357633233855,-0.6177460030925563,0.22844752346125916,-0.66251497089888,-0.028379088475933324,-0.5043021366748275,-0.7055543585313322,-0.19702919931109972,-0.1489080187649068,-0.5280651269696718,0.7432906532339802,0.39502784523285334,-0.5218120914317997,0.6870140739498135,-0.7019878934131673
Ca_Accumulibacter,-0.38107778145725746,0.1511786761727404,0.6922048364153627,0.7711237553342816,-0.18417982829725776,-0.6789201278342817,-0.7673475411069186,1.0,0.7029018492176387,-0.4842105263157894,0.6646657183499288,0.5962301743512748,-0.33137490344327725,-0.8315129656294615,-0.622275960170697,0.04816843315407082,-0.10307254623044096,-0.02118110932456318,0.5249217638691321,-0.7616738261763829,0.4843812233285917,0.8481257578891164,0.07223328591749645,-0.3881375537175023,0.582873399715505,0.5538264580369844,-0.7980776300951198,0.6061166429587481,0.456330014224751,0.6328307254623045,-0.38284742267699284,-0.7248079658605974,0.6238691322901849,0.11431009957325747,0.7454623044096728,-0.1710551631367666,0.407260694356513,0.6465718349928875,0.374850640113798,0.10001422778693973,0.6012517780938833,-0.7244665718349929,-0.14323821458829122,0.5912454932001251,-0.676883010723436,0.7149157141635645
Ca_Caldilinea,-0.3936903574098209,0.2200289307386335,0.9029302987197723,0.5885917496443812,-0.537629824760804,-0.8060552687043462,-0.6710199312579995,0.7029018492176387,1.0,-0.24330014224751065,0.8917496443812233,0.867586601526083,-0.3984931648521986,-0.8406077867187209,-0.6625035561877667,-0.08001991627042185,0.11581792318634422,0.23172361661468616,0.5415931721194879,-0.8074022994915522,0.6983214793741109,0.7042037147054973,-0.11246088193456615,-0.6870653730733429,0.6248933143669985,0.447425320056899,-0.7395094096149887,0.7448079658605974,0.6142816500711238,0.3173826458036984,-0.2649085748978989,-0.5401137980085349,0.2541678520625889,0.2979516358463727,0.8756756756756756,-0.35430518227876256,0.7092273367552488,0.7573826458036984,0.4550782361308676,-0.07873097248548003,0.3029302987197724,-0.9048933143669985,-0.2922970124288124,0.274988637493964,-0.8290104344131357,0.834611283141223
Ca_Competibacter,0.16338042426143007,-0.05502869473408665,-0.24634423897581792,-0.38731152204836417,0.27110542314479713,0.42323530887738775,0.5720193338676428,-0.4842105263157894,-0.24330014224751065,1.0,-0.1595732574679943,-0.29499964510217563,0.01044061844138777,0.3762034848484211,0.4834992887624466,0.42624653354855996,0.31519203413940255,-0.31412468862363624,-0.26284495021337123,0.31935529549267133,0.1946230440967283,-0.38540436828413666,-0.46958748221906116,0.039846436148893986,-0.029160739687055477,-0.272773826458037,0.4697302575788292,-0.5142816500711237,0.08688477951635847,-0.4072546230440967,0.2468417150011259,0.6740540540540539,-0.7201137980085348,0.1896159317211949,-0.40614509246088193,-0.061360946192166484,-0.14217016266545698,-0.1661450924608819,0.10384068278805121,-0.1395931156536917,-0.3440113798008535,0.23854907539118064,0.3556030589889564,-0.3267873665603078,0.14714290784141346,-0.44427057513338203
