MAG	day_1	day_8	day_15	day_22	day_28	day_29	day_38	day_45	day_50	day_64	day_71	day_78	day_86	day_92	day_99	day_106	day_115	day_121	day_127	day_134	day_141	day_147	day_158	day_163	day_172	day_189	day_199	day_206	day_213	day_220	day_227	day_234	day_240	day_248	day_255	day_267	day_275	day_284	day_289	day_295	day_302	day_311	day_318	day_325	day_330	day_338	day_346	day_353	day_358	day_372	day_380	day_386	day_395	day_406	day_415	day_423	day_436	day_445	day_449	day_464	day_480	day_484	day_493	day_500	day_507	day_512	day_522	day_528	day_536	day_541	day_547	day_560	day_570	day_575	day_584
CAN_1_bin.148	1.133932	0.953510	1.178376	1.125308	1.168181	1.076377	1.200994	1.125688	1.099784	1.211147	2.287031	0.877346	0.914492	0.896237	0.879112	0.957100	0.979287	0.988498	0.934060	0.948357	0.973727	0.956300	0.934754	0.939025	0.954625	0.989907	0.946786	0.974618	0.954282	0.987380	0.786917	0.869469	0.713804	0.781106	0.593596	0.791395	0.862497	0.814373	0.855427	0.519678	0.647617	0.763503	0.746637	0.809150	1.199452	1.136807	1.647217	1.437627	1.580198	1.403093	1.321366	1.437870	1.307429	1.004129	1.056358	1.130786	1.631715	1.525391	1.546169	1.688296	1.602833	1.529255	1.292788	1.182738	0.787812	0.825631	0.591615	0.557777	0.271106	0.341921	0.205128	0.238261	0.245640	0.192915	0.222155
CAN_1_bin.174	0.000000	0.000000	0.000000	0.000000	0.000000	0.000124	0.000270	0.000000	0.000000	0.000148	0.000000	0.137249	0.125349	0.131148	0.134251	0.136509	0.139070	0.129651	0.134616	0.135344	0.140219	0.148665	0.134640	0.153712	0.139911	0.134523	0.146695	0.153933	0.161780	3.439482	1.464349	1.661406	1.292716	1.857433	1.780789	1.621802	1.439563	1.118985	0.594833	0.478104	0.573766	0.605755	0.499588	0.409570	0.479781	0.473670	0.480223	0.684854	0.767998	0.979047	1.184243	1.544379	0.824780	1.208013	0.591781	0.851196	0.517093	0.843149	0.723607	0.648882	2.107096	2.411750	2.883480	3.303143	2.965881	1.720674	1.485422	1.239878	1.194561	1.255674	1.181929	0.538837	0.266110	0.229857	0.301228
CAN_1_bin.177	0.084567	0.081047	0.059049	0.048446	0.035055	0.050038	0.045604	0.036831	0.042138	0.059181	0.179816	0.328806	0.302788	0.320231	0.319424	0.337679	0.321700	0.335183	0.318574	0.303717	0.320674	0.309312	0.307720	0.319422	0.326460	0.345116	0.327971	0.326458	0.331998	0.595043	0.821130	0.775323	0.786871	0.645796	0.449694	0.362258	0.366096	0.329479	0.294584	0.408814	0.545362	0.403836	0.444688	0.479497	0.588302	0.462524	0.557678	0.435816	0.425438	0.492642	0.504862	0.556213	0.714809	0.677914	0.636027	0.608885	0.413674	0.302504	0.383450	0.480654	0.636331	0.743472	0.944298	0.985615	0.556103	0.818325	0.634177	0.477135	0.377007	0.389082	0.390720	0.245592	0.216982	0.127242	0.210859
CAN_1_bin.180	0.097986	0.100411	0.046582	0.050071	0.023415	0.044202	0.038678	0.045722	0.034150	0.049712	0.000000	0.134749	0.135377	0.157414	0.145824	0.119830	0.143866	0.117098	0.131178	0.151669	0.157045	0.125681	0.155792	0.129942	0.128860	0.150138	0.134501	0.161500	0.132365	0.071928	0.157383	0.055380	0.016862	0.030752	0.011992	0.066878	0.093075	0.080816	0.096306	0.103936	0.028404	0.094649	0.142740	0.064932	0.137080	0.100306	0.072292	0.062259	0.066302	0.056124	0.018699	0.029586	0.030547	0.015291	0.016592	0.068344	0.068946	0.115852	0.216464	0.114155	0.108056	0.090667	0.061829	0.079915	0.034756	0.014613	0.012769	0.006720	0.008472	0.000000	0.000000	0.032990	0.028658	0.045150	0.414188
CAN_1_bin.195	0.000760	0.000312	0.000137	0.000434	0.000000	0.001614	0.000180	0.000141	0.000399	0.001036	0.005619	0.023632	0.021727	0.019933	0.017360	0.025403	0.022379	0.027542	0.020459	0.026385	0.019996	0.022495	0.025830	0.027845	0.024092	0.027025	0.027665	0.032862	0.025798	0.268097	0.198440	0.293515	0.488984	0.369026	0.485670	0.574040	0.459171	0.397861	0.379560	0.291020	0.471511	0.807673	0.713698	0.609360	0.651131	0.351073	0.232366	0.220738	0.287309	0.486406	0.423834	0.355030	0.189394	0.173301	0.110613	0.173967	0.252801	0.231705	0.179356	0.036049	0.072037	0.048356	0.219212	0.452850	0.411284	0.182662	0.131943	0.114243	0.088957	0.085480	0.073260	0.058649	0.057316	0.053360	0.101664
CAN_1_bin.2	0.000253	0.000781	0.000411	0.000325	0.000541	0.000124	0.000450	0.000282	0.000699	0.000148	0.000000	0.246093	0.232314	0.263785	0.237254	0.254799	0.225790	0.249373	0.260636	0.264234	0.260685	0.262854	0.252603	0.281617	0.255068	0.276653	0.254260	0.265923	0.284983	0.562349	0.492678	0.481808	0.550809	0.811858	0.857417	1.242824	1.054852	0.938704	0.968729	0.381098	0.181787	0.290257	0.318419	0.539434	0.725383	0.796879	0.919137	0.854652	0.729322	0.573709	0.984792	1.366864	0.818671	0.626943	0.282064	0.173967	0.258546	0.302504	0.278310	0.282384	0.438228	0.338491	0.331628	0.479489	0.434455	0.387243	0.391573	0.275528	0.262634	0.327183	0.595849	1.103332	1.338737	1.699298	1.656751
CAN_1_bin.210	0.381058	0.312944	0.375255	0.371093	0.394808	0.361069	0.384260	0.381298	0.365863	0.406280	0.724882	0.284723	0.301117	0.300112	0.315027	0.322797	0.323299	0.326564	0.309634	0.302199	0.306774	0.312246	0.319517	0.318064	0.310988	0.318892	0.313411	0.343538	0.325970	0.287713	0.205283	0.287977	0.314748	0.264469	0.239837	0.245221	0.304046	0.310829	0.266259	0.166297	0.176106	0.201918	0.203129	0.204785	0.388394	0.367790	0.511205	0.452796	0.392287	0.442754	0.623286	0.473373	0.378788	0.387380	0.370555	0.379000	0.517093	0.495591	0.500959	0.480654	0.570297	0.531915	0.399078	0.372936	0.283844	0.288606	0.234092	0.174725	0.088957	0.091375	0.043956	0.073311	0.061410	0.049255	0.086603
CAN_1_bin.48	0.000000	0.000312	0.000137	0.000108	0.000271	0.000124	0.000450	0.000282	0.000599	0.000000	0.005619	0.114298	0.116714	0.117735	0.100457	0.115981	0.136673	0.135459	0.130490	0.120158	0.120710	0.101963	0.112878	0.130169	0.118251	0.118308	0.117393	0.129286	0.118863	0.111162	0.047899	0.105222	0.146133	0.147611	0.161890	0.083598	0.068255	0.012433	0.011330	0.083149	0.039766	0.006310	0.021960	0.034963	0.022847	0.000000	0.005164	0.016980	0.005525	0.024944	0.000000	0.005917	0.000000	0.010194	0.000000	0.000000	0.005745	0.000000	0.000000	0.006008	0.006003	0.012089	0.011242	0.010655	0.017378	0.058452	0.110662	0.168005	0.169441	0.162118	0.083028	0.025659	0.012282	0.008209	0.007531
CAN_1_bin.5	0.069122	0.130081	0.074941	0.064378	0.082156	0.061958	0.064673	0.066184	0.063607	0.056518	0.005619	0.129068	0.122285	0.128726	0.131705	0.138305	0.140469	0.130026	0.156966	0.138761	0.126563	0.142064	0.133013	0.127678	0.142343	0.126116	0.133045	0.121935	0.133329	0.274635	0.232654	0.099684	0.039344	0.055354	0.065955	0.278660	1.340283	1.156285	1.319964	0.422672	0.528319	0.466936	0.422729	0.514460	0.348412	0.273057	0.247857	0.254698	0.447539	0.654777	0.723012	0.355030	0.164956	0.076456	0.027653	0.055918	0.034473	0.122289	0.142248	0.084114	0.378197	0.537959	0.449666	0.564731	0.671957	0.416469	0.310704	1.330600	1.364002	0.952072	1.030525	1.044683	0.839270	0.599269	0.538444
CAN_1_bin.77	0.342699	0.321845	0.354020	0.286448	0.322803	0.311279	0.315000	0.298462	0.326420	0.353757	0.224770	0.278815	0.250141	0.286326	0.279612	0.285334	0.277342	0.277102	0.286081	0.278281	0.307018	0.269212	0.254637	0.292709	0.273192	0.290266	0.270822	0.281273	0.304030	0.333486	0.280553	0.310129	0.281025	0.350575	0.317784	0.328819	0.273021	0.198931	0.175617	0.277162	0.369255	0.309187	0.312929	0.324659	0.268449	0.256339	0.433750	0.254698	0.397812	0.293091	0.199452	0.236686	0.207722	0.214078	0.110613	0.155328	0.258546	0.231705	0.272126	0.246335	0.162084	0.217602	0.281041	0.356953	0.283844	0.416469	0.395829	0.413293	0.402423	0.418558	0.566545	0.839412	1.150413	1.268317	1.445892
