MAG,old_mag_iterativeID,old_intersection_id,new_mag_iterativeID,assignment_case
coasm_bin.215,Arenimonas.1,Arenimonas.1_ma,Chiayiivirga.1_m,gtdb_genus
coasm_bin.218,JADZAI01_m.1,JADZAI01.1_m,Micropepsaceae.1_m,gtdb_lowest
coasm_bin.219,Paracoccus.13,Paracoccus.13_ma,Paracoccus.13,asv_inherit
coasm_bin.22,Leptolinea.4,Anaerolinea.5_ma,Leptolinea.4,asv_inherit
coasm_bin.221,1-14-0-10-56-10_m.1,1-14-0-10-56-10.1_m,Microgenomatia.2_m,gtdb_lowest
coasm_bin.222,Zoogloea.2,Zoogloea.2_ma,Zoogloea.2,asv_inherit
coasm_bin.223,UBA1934_m.1,UBA1934.1_m,Rhodocyclaceae.1_m,gtdb_lowest
coasm_bin.226,Arenimonas.7,Arenimonas.7_ma,Arenimonas.7,asv_inherit
coasm_bin.231,Bryobacter.8,Bryobacter.8_ma,Bryobacter.8,asv_inherit
coasm_bin.233,SHZI01_m.2,SHZI01.2_m,Gammaproteobacteria.7,asv_inherit
coasm_bin.237,Holophagaceae.2,Holophagaceae.2_ma,Holophaga.2_m,gtdb_genus
coasm_bin.238,BA12_m.1,BA12.1_m,Rhodothermaceae.5,asv_inherit
coasm_bin.24,Absconditicoccaceae_m.1,Absconditicoccaceae.1_m,Absconditicoccaceae.1_m,gtdb_lowest
coasm_bin.240,Villigracilis_m.2,Villigracilis.2_m,Villigracilis.2_m,gtdb_genus
coasm_bin.246,Sulfuritalea.2,Sulfuritalea.2_ma,Sulfuricystis.1_m,gtdb_genus
coasm_bin.248,Rhodobacteraceae.16,Rhodobacteraceae.16_ma,Neotabrizicola.1_m,gtdb_genus
coasm_bin.249,Giesbergeria_m.2,Giesbergeria.2_m,Giesbergeria.2_m,gtdb_genus
coasm_bin.25,UBA9973_m.1,UBA9973.1_m,Paceibacteria.3_m,gtdb_lowest
coasm_bin.250,Propionivibrio.2,Dechlorobacter.6_ma,Accumulibacter.5_m,gtdb_genus
coasm_bin.251,Ca_Competibacter.28,Ca_Competibacter.27_ma,Competibacter_A.3_m,gtdb_genus
coasm_bin.255,Hydrogenophaga_m.1,Hydrogenophaga.1_m,Hydrogenophaga.5,asv_inherit
coasm_bin.256,Azonexus.1,Azonexus.1_ma,Azonexus.1,asv_inherit
coasm_bin.258,JAEUKH01_m.1,JAEUKH01.1_m,Sandaracinus.1,asv_inherit
coasm_bin.259,Mariniflexile_m.1,Mariniflexile.1_m,Mariniflexile.1_m,gtdb_genus
coasm_bin.260,JAAEKA01_m.2,JAAEKA01.2_m,Ca_Sarcinithrix.1,asv_inherit
coasm_bin.261,Flexifilum_m.2,Flexifilum.2_m,Flexifilum.2_m,gtdb_genus
coasm_bin.262,Phreatobacter_m.1,Phreatobacter.1_m,Phreatobacter.1_m,gtdb_genus
coasm_bin.265,midas_g_94.1,midas_g_94.1_ma,Rhodocyclaceae.20,asv_inherit
coasm_bin.268,Rurimicrobium.3,Rurimicrobium.3_ma,Flavipsychrobacter.4_m,gtdb_genus
coasm_bin.27,UBA1924_m.1,UBA1924.1_m,Phycisphaeraceae.31,asv_inherit
coasm_bin.271,Casimicrobium_m.1,Casimicrobium.1_m,Casimicrobium.1_m,gtdb_genus
coasm_bin.277,Dokdonella.17,Dokdonella.17_ma,Dokdonella.17,asv_inherit
coasm_bin.278,CALMUP01_m.1,CALMUP01.1_m,Kiritimatiellia.1_m,gtdb_lowest
coasm_bin.279,Rhodobacteraceae.11,Rhodobacteraceae.11_ma,Xinfangfangia.1_m,gtdb_genus
coasm_bin.28,JADKFD01_m.1,JADKFD01.1_m,Rhodanobacteraceae.5,asv_inherit
coasm_bin.280,Rhizobiaceae.4,Rhizobiaceae.4_ma,Mesorhizobium_A.1_m,gtdb_genus
coasm_bin.286,UBA2475_m.3,UBA2475.3_m,Sphingobacteriales.9,asv_inherit
coasm_bin.289,Phreatobacter_m.2,Phreatobacter.2_m,Phreatobacter.3,asv_inherit
coasm_bin.290,midas_g_251.1,midas_g_251.1_ma,Xanthobacteraceae.4,asv_inherit
coasm_bin.293,midas_g_2947.1,midas_g_2947.1_ma,Verrucomicrobiales.2,asv_inherit
coasm_bin.298,CAIVAT01_m.1,CAIVAT01.1_m,Bacteroidales.1_m,gtdb_lowest
coasm_bin.305,JAEUWI01_m.1,JAEUWI01.1_m,Hydrogenedensaceae.8,asv_inherit
coasm_bin.31,Rhodobacteraceae.1,Rhodobacteraceae.1_ma,Rhodobacteraceae.1,asv_inherit
coasm_bin.312,PHOS-HE28_m.1,PHOS-HE28.1_m,Flavobacteriales.1_m,gtdb_lowest
coasm_bin.313,JACKCG01_m.1,JACKCG01.1_m,Phototrophicaceae.5_m,gtdb_lowest
coasm_bin.314,SCN-52-12_m.1,SCN-52-12.1_m,Spirosomataceae.1_m,gtdb_lowest
coasm_bin.315,Villigracilis_m.3,Villigracilis.3_m,Villigracilis.3_m,gtdb_genus
coasm_bin.318,UBA5066_m.3,UBA5066.3_m,Thermoanaerobaculia.3_m,gtdb_lowest
coasm_bin.320,JADLGF01_m.1,JADLGF01.1_m,Thermomicrobiales.1_m,gtdb_lowest
coasm_bin.321,Dokdonella.2,Dokdonella.2_ma,Dokdonella.2,asv_inherit
coasm_bin.322,Edaphobaculum.13,Edaphobaculum.13_ma,Flavipsychrobacter.5_m,gtdb_genus
coasm_bin.324,JACTMZ01_m.2,JACTMZ01.2_m,Chthoniobacterales.2_m,gtdb_lowest
coasm_bin.325,Flexifilum_m.3,Flexifilum.3_m,Flexifilum.3_m,gtdb_genus
coasm_bin.335,Inhella_m.2,Inhella.2_m,Inhella.1_m,gtdb_genus
coasm_bin.336,UBA1573_m.2,UBA1573.2_m,Micavibrionaceae.2_m,gtdb_lowest
coasm_bin.337,UBA9002_m.1,UBA9002.1_m,Ignavibacteria.7,asv_inherit
coasm_bin.338,Pseudorhodobacter.1,Pseudorhodobacter.1_ma,Pseudorhodobacter.1,asv_inherit
coasm_bin.340,Mesorhizobium.4,Mesorhizobium.4_ma,Mesorhizobium_A.2_m,gtdb_genus
coasm_bin.347,Ca_Accumulibacter.3,Ca_Accumulibacter.3_ma,Accumulibacter.6_m,gtdb_genus
coasm_bin.348,P3OB-42.3,P3OB-42.3_ma,Myxococcaceae.11,asv_inherit
coasm_bin.350,JAFLCM01_m.1,JAFLCM01.1_m,Phycisphaeraceae.13,asv_inherit
coasm_bin.358,JABWBB01_m.1,JABWBB01.1_m,Phycisphaeraceae.22,asv_inherit
coasm_bin.362,Runella_m.1,Runella.1_m,Runella.3,asv_inherit
coasm_bin.364,Sediminibacterium.5,Sediminibacterium.5_ma,Sediminibacterium.5,asv_inherit
coasm_bin.365,Ca_Competibacter.109,Ca_Competibacter.109_ma,Ca_Competibacter.109,asv_inherit
coasm_bin.367,Luteimonas_D_m.1,Luteimonas_D.1_m,Luteimonas_D.2_m,gtdb_genus
coasm_bin.373,Leadbetterella_m.1,Leadbetterella.1_m,Leadbetterella.18,asv_inherit
coasm_bin.383,UBA1364_m.1,UBA1364.1_m,Ca_Pacebacteria.9,asv_inherit
coasm_bin.385,UBA924_m.1,UBA924.1_m,Microgenomatia.3_m,gtdb_lowest
coasm_bin.386,alphaI_cluster.1,alphaI_cluster.1_ma,alphaI_cluster.1,asv_inherit
coasm_bin.388,JAGOPC01_m.1,JAGOPC01.1_m,Absconditicoccaceae.2_m,gtdb_lowest
coasm_bin.389,JANWYT01_m.1,JANWYT01.1_m,Phototrophicaceae.6_m,gtdb_lowest
coasm_bin.392,Gemmobacter.1,Gemmobacter.1_ma,Gemmobacter.1,asv_inherit
coasm_bin.393,IGN3_m.1,IGN3.1_m,Ignavibacteriaceae.2_m,gtdb_lowest
coasm_bin.394,Chelatococcus_asaccharovorans.1,Chelatococcus_asaccharovorans.1_ma,Chelatococcus.1_m,gtdb_genus
coasm_bin.395,Arenimonas.3,Arenimonas.3_ma,Chiayiivirga.2_m,gtdb_genus
coasm_bin.399,Bosea.3,Bosea.3_ma,Bosea.3,asv_inherit
