MAG,iterativeID,day_1,day_8,day_15,day_22,day_28,day_29,day_38,day_45,day_50,day_64,day_71,day_78,day_86,day_92,day_99,day_106,day_115,day_121,day_127,day_134,day_141,day_147,day_158,day_163,day_172,day_189,day_199,day_206,day_213,day_220,day_227,day_234,day_240,day_248,day_255,day_267,day_275,day_284,day_289,day_295,day_302,day_311,day_318,day_325,day_330,day_338,day_346,day_353,day_358,day_372,day_380,day_386,day_395,day_406,day_415,day_423,day_436,day_445,day_449,day_464,day_480,day_484,day_493,day_500,day_507,day_512,day_522,day_528,day_536,day_541,day_547,day_560,day_570,day_575,day_584,Kingdom,Phylum,Class,Order,Family,Genus,Species
CAN_1_bin.148,Dokdonella.13,0.0007624798895929,0.0,0.0,0.004874719703617,0.0,0.0005822111213968,0.0048876063054371,0.0,0.0010707466078152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004115463442338,0.0,0.0,0.0,0.0041531282828036,0.0,0.0013076111687428,0.0,0.0,0.0020986248760498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0088621056362991,0.0,Bacteria,,,,,,
CAN_1_bin.174,UBA5532_m.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2721692182530877,0.2531668541976697,0.273464480830301,0.258726385587389,0.2764027090243401,0.2721106149179111,0.2693276181007717,0.2630443347905214,0.2755302774645453,0.2801563393607797,0.2925438352867114,0.2764636407424269,0.3029340629809689,0.2872051424307933,0.2732907342672583,0.298100774347048,0.3132805554379577,0.3203026217071264,6.929023190442726,3.10042687036621,3.35397006671876,2.68914672467972,3.807601749075008,3.878188443519,3.4156846324101213,2.7777777777777777,2.111156077161743,1.3311968445704423,0.9617604062475956,1.0088429443268152,0.9933547989312872,0.8962715105162524,0.8355795148247979,0.9180614539095678,0.9934372930338972,0.9706507380391708,1.3813181367690783,1.5992361857023512,2.101754863283907,2.66712141882674,3.007710444147072,1.7892909600747764,2.5744717206812098,1.1860063174205853,1.8860103626943008,1.178524661719773,1.7128356946500318,1.4772260976610587,1.3332453303412315,4.518844964809577,4.952368524076732,6.291370620027935,6.756989494230438,6.024778315829193,3.320914954132116,3.0841512769223614,2.640825535377446,2.542607093505297,2.594008922880816,2.3382820784729588,1.2070197728897003,0.5484949832775919,0.4652605459057072,0.6367606841095554,Bacteria,Patescibacteria,Gracilibacteria,midas_o_47192,midas_f_47192,midas_g_71310,midas_s_71310
CAN_1_bin.177,midas_g_155.3,0.0812803562306044,0.0789471240027119,0.0576283992751628,0.0486189149387067,0.0330131481211074,0.0468679952724456,0.045900998346714,0.0365148119487184,0.0392607089532262,0.0563192615308536,0.1684514498856936,0.3301037891674679,0.3064014615319468,0.3250159588071469,0.3172776179156762,0.3414059591868482,0.3215852721757131,0.3404284794602039,0.3127638417231092,0.3022807898397439,0.3228518492163265,0.3047111195753089,0.3070351968786221,0.3161263528204627,0.3235541696160395,0.3484783764699729,0.3306714119172785,0.3285682702303505,0.3336813552919449,0.6184118060435699,0.853740732419681,0.7874015748031497,0.8037225042301185,0.686175580221998,0.4424778761061947,0.3409702697852485,0.3766478342749529,0.3237555645487657,0.2958215210156539,0.4462568284988844,0.5666957279860506,0.3836404740700144,0.4421606118546845,0.5067385444743935,0.6057956532600549,0.475645734240472,0.5973235311010281,0.4397918731417244,0.4356128416278792,0.5237382669024623,0.5184174624829468,0.5989931816733576,0.7410869274936573,0.6948795352281142,0.6555813814887658,0.6424870466321243,0.4115482945688096,0.2748995559314865,0.3761455341266584,0.5016170549798693,0.6380319673748602,0.782983165861934,0.9534219955061638,1.0218726677765655,0.5722910508773034,0.8292272563393823,0.6372982276596735,0.4697266708584532,0.3869184707508061,0.3792224346717655,0.3923647932131495,0.2421980465337886,0.2140468227424749,0.1240694789081885,0.2204171598840769,Bacteria,,,,,,
CAN_1_bin.180,Bdellovibrio.13,0.0860077315460802,0.0815477351463305,0.0404999583794892,0.0378432187517637,0.013173515836788,0.0302749783126356,0.0285818716557084,0.0316573369647144,0.0241512845984996,0.0386336397696403,0.0,0.1198136232527178,0.124012437540077,0.1411624455537855,0.1401226072813708,0.1077831669361243,0.1338853663511569,0.1153097063880758,0.1243925777219082,0.1450700863424225,0.1417912611252109,0.1150601883813015,0.1486789348781861,0.1267925634573568,0.1221996900767154,0.1425296173929717,0.1247217097201503,0.1505251918020212,0.1243435239059603,0.0702740688685874,0.1348011682767917,0.0601069904429885,0.0,0.0201816347124117,0.0,0.0717832146916312,0.0874361043852569,0.0876837987319573,0.0739553802539134,0.0692467492498268,0.0311371279113214,0.0616565047612523,0.1135277246653918,0.0485175202156334,0.1186610042468148,0.0782708170269131,0.0631784504049164,0.0557482656095143,0.0537056928034371,0.0476125697184056,0.0,0.0254890715605684,0.0200293764187474,0.0170872016859372,0.0,0.0414507772020725,0.0311779011036976,0.0563896524987664,0.1709752427848446,0.0858029172991881,0.0657764914819443,0.0848231763017095,0.0303637578186676,0.0574085768413801,0.0251556505880133,0.0,0.009303623761455,0.0,0.0,0.0,0.0,0.0357341380131819,0.0178372352285395,0.0487415809996453,0.3959345279399159,Bacteria,,,,,,
CAN_1_bin.195,UBA919_m.1,0.0006099839116743,0.0,0.0,0.0005131283898544,0.0,0.0013099750231428,0.0,0.0,0.0004758873812512,0.001030230393857,0.0,0.023913418632744,0.0217777939094769,0.0197345501630114,0.0185162016764669,0.0275013750687532,0.0223503934103228,0.0281143807094602,0.0202630443347905,0.025515873342497,0.0197664397479382,0.0227475314960734,0.0259528318278491,0.0268731830063761,0.0246312486847391,0.0274598345436001,0.02879721004685,0.0341033637676453,0.026757467169637,0.2810962754743499,0.2022017524151876,0.3005349522149426,0.4894851341551849,0.3565422132526068,0.4815200416449766,0.5563199138601423,0.4708097928436911,0.3979495480911911,0.3574510045605817,0.2539047472493652,0.448374641923029,0.8152360073987805,0.7409177820267686,0.6199460916442049,0.680739445415938,0.361249924739599,0.2527138016196657,0.216798810703667,0.2923976608187134,0.4897292885321725,0.4365620736698499,0.3632192697380998,0.2002937641874749,0.1822634846499971,0.0774777996304905,0.1934369602763384,0.2618943692710607,0.2326073165574117,0.1504582136506634,0.0396013464457791,0.0657764914819443,0.0521988777241289,0.218619056294407,0.4764911877834548,0.4465127979372366,0.196290509954733,0.1162952970181885,0.1220549617191256,0.0921234454168585,0.0892288081580624,0.0689289501590668,0.0555864369093941,0.0535117056856187,0.0487415809996455,0.1061267806849259,Bacteria,,,,,,
CAN_1_bin.2,B-1AR_m.1,0.0,0.0005572738164897,0.0,0.0,0.0,0.0,0.0,0.0,0.0004758873812512,0.0,0.0,0.2514606907773093,0.2377409168451235,0.2670205460831952,0.2407106217940698,0.257235083976421,0.2297967633158436,0.2509921524206889,0.2697986829021182,0.2677108969241026,0.2696142381618792,0.261861118385031,0.2568890472451509,0.2885202648230034,0.2542040519599778,0.2813543364745059,0.2615581078048383,0.2700045627948765,0.2898725610044018,0.5832747716092762,0.5317157193140118,0.5048987197211036,0.5559584239787285,0.8476286579212916,0.9109838625715772,1.3040617335646347,1.1097659402744149,0.9847565088358288,0.9799087883643536,0.4077864122489805,0.1805953418856644,0.3082825238062616,0.3346080305927342,0.5660377358490566,0.7806645016237822,0.836895658980071,0.9476767560737464,0.9229435084241824,0.7578469984485022,0.6189634063392736,1.043656207366985,1.4273880073918308,0.8278808919748966,0.6151392606937404,0.2920317062995411,0.1865284974093264,0.2618943692710607,0.331289208430253,0.294077417589933,0.3036103227509735,0.4604354403736104,0.3588672843533864,0.3400740875690775,0.5166771915724209,0.4653795358782466,0.4045988062332252,0.3721449504582034,0.2478085586418611,0.262551819438047,0.331421287444232,0.6097560975609756,1.111728738187882,1.3779264214046822,1.7236795462601917,1.6898648924445896,Bacteria,,,,,,
CAN_1_bin.210,Dokdonella.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018815648975252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dokdonella,
CAN_1_bin.48,GWB1-50-10_m.1,0.0041173914038017,0.0016718214494691,0.0006403155475018,0.0020525135594177,0.0023807558741183,0.0008733166820952,0.0006375138659265,0.0031824836102094,0.0020225213703176,0.0013736405251427,0.0,0.1173483223627443,0.1188704584225617,0.1171990632129861,0.1023395471037156,0.1152835419548754,0.1380082544559741,0.1354787186361672,0.1309593050526276,0.1218177178932118,0.1172808758377676,0.1047444473540124,0.113268715180867,0.1321672000586324,0.1169386466683247,0.1176850051868575,0.1203524778509733,0.130298369153625,0.1190969617158356,0.1194659170765987,0.0449337227589305,0.0961711847087816,0.1389896059946821,0.1479986545576858,0.1561686621551275,0.089729018364539,0.0605326876513317,0.0,0.0,0.0846349157497884,0.0311371279113214,0.0,0.0,0.0377358490566037,0.024981264051961,0.0,0.0,0.0,0.0,0.0136035913481159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125778252940066,0.0640948603933821,0.111643485137461,0.1775344897732736,0.1750345462920313,0.1720841300191204,0.0689289501590668,0.027793218454697,0.0,0.0,0.0,Bacteria,,,,,,
CAN_1_bin.5,UBA1573_m.1,0.0669457343062575,0.1239005451995503,0.0683536846958179,0.0649107413165846,0.0745970173890407,0.0602588510645728,0.0635388819706827,0.0596296929070814,0.0582962042032752,0.0520266348897823,0.0,0.1279491161896307,0.1209877439415386,0.1296841867855034,0.1313649443262854,0.1369512920090448,0.1412631661176714,0.1297743515356969,0.1592900429651587,0.1403373033837338,0.1267687669167778,0.1436268558414866,0.1326233694253645,0.1255710551388852,0.1446786937307492,0.1261844777836861,0.1330629705613071,0.1220665227269519,0.1293277579865792,0.2951510892480675,0.239646521380963,0.1081925827973793,0.0423011844331641,0.0470904809956273,0.0650702758979698,0.2811509242088891,1.358622545063223,1.220828274652637,1.374337483051892,0.4539509117488651,0.5417860256569934,0.479550592587518,0.4361854684512428,0.5336927223719676,0.3559830127404447,0.2769582756336926,0.2699442880937338,0.2787413280475718,0.447547440028643,0.6801795674057951,0.757162346521146,0.3632192697380998,0.1602350113499799,0.0797402745343737,0.0297991537040348,0.0552677029360967,0.0249423208829581,0.1339254246845704,0.1504582136506634,0.0858029172991881,0.407814247188055,0.5676627952499022,0.4615291188437481,0.597049199150353,0.67920256587636,0.4206225213315707,0.3163232078894729,1.3352073085031624,1.427913403961308,0.968769917144678,1.0498409331919407,1.036290002382276,0.8517279821627648,0.5981921304501949,0.5877790930242051,Bacteria,,,,,,
CAN_1_bin.77,UBA5066_m.1,0.0007624798895929,0.0026006111436187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017170506564283,0.0,0.0,0.0012098774394153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004358703895809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0123258967089855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,,,,,,
