genus,functional_category,in_prev_top10,plot_CAP1,plot_CAP2
AAP99,,False,-0.2871846303617061,-0.06153114088756903
Acidaminobacter,,False,-0.0018590897142266823,0.00939134189244366
Acidovorax,,False,0.028424066830336565,0.04300337415714161
Aeromonas,,True,0.026948186991446948,0.02973285380274367
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,,False,-0.27896079838142296,-0.05344132757337884
Aminobacter,,False,-0.29244960618247595,-0.041999384199174976
Anaerolinea,,False,0.09512590089133821,0.10615761924390245
Aquimonas,,False,-0.09020967776104162,0.08427992271897596
Arenimonas,,False,-0.2766925418322484,0.05160323038010046
Aurantisolimonas,,False,-0.2443255360477432,0.02175761820567619
Azoarcus,,False,0.1221769343104786,-0.07175801910868099
Azospira,,True,-0.1273497800649489,0.08754448981900351
Bdellovibrio,,False,-0.07255131969502907,0.033974397589301125
Beggiatoa,,False,0.021458693180301,0.019483803586612614
Blastopirellula,,False,-0.05763629359513918,0.07294411920579014
Blvii28_wastewater-sludge_group,,False,0.02843572644860456,0.042382171042619564
Bosea,,False,-0.2394914544148044,-0.002135012864129225
Brevundimonas,,False,-0.17649930990702742,-0.032251402674992054
Bryobacter,,False,-0.11486668616556986,0.10296628175213036
C39,,False,0.021394077266465406,0.01879850332391009
Ca_Bealeia,,False,-0.18636837974738923,0.02273717226881965
Ca_Caldilinea,,True,0.22032373669891367,0.0031024002251617334
Ca_Epiflobacter,,False,0.030949076929182726,0.04882771036942132
Ca_Flexifilum,,False,-0.06712288009137536,0.077079784181547
Ca_Leptovillus,,False,0.2650330487028459,0.03346351388808279
Ca_Methanofastidiosum,,False,0.0007616170106499954,0.023747538716992377
Ca_Parvibacillus,,False,0.0869034832072567,0.07570463348160103
Ca_Sarcinithrix,,True,0.25009380141006465,-0.06991204029307102
Ca_Villigracilis,,False,0.2706936089970715,0.01222058656431962
Cephaloticoccus,,False,-0.06012967622876646,0.10707268248434247
Chelatococcus_asaccharovorans,,False,-0.29831967642529794,-0.015397475477998367
Chlorobium,,False,0.09061561911102416,0.001730886745569362
Christensenellaceae_R-7_group,,False,0.03815518592522666,0.028302330402837927
Chryseobacterium,,False,-0.20855748826908976,-0.04471052698798307
Cloacibacterium,,False,-0.29223109654943524,-0.04892520227116597
Clostridium_sensu_stricto_13,,False,0.07838061270994391,0.04295670001625033
Dechlorobacter,,False,-0.020256405751362064,0.000876537841685885
Defluviimonas,,False,0.20181114856363913,-0.09565316243675213
Denitratisoma,,True,-0.04666912800894792,0.13472920954915493
Denitromonas,,False,-0.06793988114860657,-0.006187756977404834
Desulfobulbus,,False,0.11073189066118364,-0.018775455768649838
Devosia,,False,0.03747905154588361,-0.0468168625482405
Dokdonella,,True,-0.038736535362516894,0.03754666354448787
Edaphobaculum,,False,0.1633605198759079,-0.10479945422449878
Exiguobacterium,,False,0.06975283319738927,-0.03796490974093217
Flavitalea,,False,-0.2929071025455607,-0.01491318466214228
Flavobacterium,,False,-0.3052304367550786,-0.0485840677949163
Fungi,,False,0.03516507366392617,0.043297358189664854
Fusibacter,,False,-0.12691879869071834,0.03677521389960907
Gemmobacter,,False,-0.29316422354836746,-0.02425884689537239
Herpetosiphon,,False,0.12738019526890854,-0.06902025803529871
Hoeflea,,False,0.10210451182886957,0.025565586890872048
Hydrogenophaga,,True,-0.048167733192218516,0.03225591851645033
Hyphomicrobium,,False,0.08133605793179766,-0.06232821674925633
IMCC26207,,False,0.1650802384610137,-0.07046676770921079
Ignavibacterium,,False,0.005777923022014125,0.09860526350556605
Inhella,,False,-0.2913107915922891,-0.04493802505334459
LD29,,False,-0.12230118725668863,0.09196607054508008
Lacihabitans,,False,0.13449929432370494,-0.06929757113813749
Leadbetterella,,False,0.2530069569177664,-0.08562189785465897
Leifsonia,,False,0.05121189383837101,-0.022566798869958236
Lentimicrobium,,False,-0.2278478929702646,-0.02520207070993081
Leptolinea,,False,0.1283432666871041,0.06377824617239543
Leptonema,,False,-0.08181561397562821,0.0691673981034391
