genus,functional_category,in_prev_top10,plot_CAP1,plot_CAP2
AAP99,,False,-0.28718463036170677,0.061531140887569
Acidaminobacter,,False,-0.0018590897142267658,-0.009391341892443915
Acidovorax,,False,0.02842406683033676,-0.04300337415714195
Aeromonas,,True,0.02694818699144705,-0.02973285380274408
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,,False,-0.2789607983814237,0.05344132757337903
Aminobacter,,False,-0.2924496061824766,0.04199938419917499
Anaerolinea,,False,0.09512590089133856,-0.10615761924390253
Aquimonas,,False,-0.09020967776104158,-0.08427992271897615
Arenimonas,,False,-0.27669254183224884,-0.05160323038010068
Aurantisolimonas,,False,-0.24432553604774326,-0.0217576182056765
Azoarcus,,False,0.12217693431047873,0.07175801910868099
Azospira,,True,-0.12734978006494885,-0.08754448981900412
Bdellovibrio,,False,-0.07255131969502918,-0.03397439758930114
Beggiatoa,,False,0.021458693180301025,-0.019483803586612978
Blastopirellula,,False,-0.057636293595139027,-0.07294411920579054
Blvii28_wastewater-sludge_group,,False,0.02843572644860472,-0.042382171042619855
Bosea,,False,-0.23949145441480485,0.002135012864128918
Brevundimonas,,False,-0.17649930990702797,0.0322514026749926
Bryobacter,,False,-0.11486668616556991,-0.10296628175213059
C39,,False,0.021394077266465455,-0.018798503323910455
Ca_Bealeia,,False,-0.18636837974738943,-0.02273717226882001
Ca_Caldilinea,,True,0.22032373669891409,-0.0031024002251613066
Ca_Epiflobacter,,False,0.030949076929182917,-0.04882771036942159
Ca_Flexifilum,,False,-0.0671228800913753,-0.07707978418154736
Ca_Leptovillus,,False,0.2650330487028461,-0.0334635138880824
Ca_Methanofastidiosum,,False,0.0007616170106501065,-0.023747538716992568
Ca_Parvibacillus,,False,0.08690348320725706,-0.07570463348160068
Ca_Sarcinithrix,,True,0.250093801410065,0.06991204029307137
Ca_Villigracilis,,False,0.27069360899707196,-0.01222058656431922
Cephaloticoccus,,False,-0.06012967622876639,-0.10707268248434262
Chelatococcus_asaccharovorans,,False,-0.2983196764252986,0.015397475477998168
Chlorobium,,False,0.0906156191110243,-0.0017308867455691197
Christensenellaceae_R-7_group,,False,0.03815518592522672,-0.028302330402838024
Chryseobacterium,,False,-0.20855748826909032,0.0447105269879828
Cloacibacterium,,False,-0.29223109654943535,0.04892520227116592
Clostridium_sensu_stricto_13,,False,0.0783806127099439,-0.04295670001625
Dechlorobacter,,False,-0.020256405751362175,-0.0008765378416861275
Defluviimonas,,False,0.2018111485636394,0.09565316243675215
Denitratisoma,,True,-0.04666912800894772,-0.13472920954915527
Denitromonas,,False,-0.0679398811486067,0.006187756977404672
Desulfobulbus,,False,0.11073189066118383,0.018775455768649474
Devosia,,False,0.0374790515458835,0.046816862548240745
Dokdonella,,True,-0.03873653536251696,-0.037546663544487546
Edaphobaculum,,False,0.16336051987590805,0.10479945422449886
Exiguobacterium,,False,0.06975283319738937,0.03796490974093216
Flavitalea,,False,-0.29290710254556135,0.014913184662142125
Flavobacterium,,False,-0.3052304367550795,0.04858406779491622
Fungi,,False,0.03516507366392629,-0.0432973581896649
Fusibacter,,False,-0.12691879869071854,-0.036775213899609575
Gemmobacter,,False,-0.29316422354836813,0.024258846895372173
Herpetosiphon,,False,0.12738019526890867,0.06902025803529864
Hoeflea,,False,0.10210451182886979,-0.025565586890871853
Hydrogenophaga,,True,-0.048167733192218426,-0.032255918516450655
Hyphomicrobium,,False,0.08133605793179775,0.06232821674925631
IMCC26207,,False,0.16508023846101394,0.07046676770921087
Ignavibacterium,,False,0.005777923022014366,-0.09860526350556645
Inhella,,False,-0.2913107915922897,0.044938025053344696
LD29,,False,-0.12230118725668865,-0.09196607054508048
Lacihabitans,,False,0.1344992943237052,0.0692975711381375
Leadbetterella,,False,0.25300695691776676,0.08562189785465919
Leifsonia,,False,0.05121189383837106,0.022566798869958226
Lentimicrobium,,False,-0.22784789297026514,0.02520207070993072
Leptolinea,,False,0.12834326668710436,-0.06377824617239515
Leptonema,,False,-0.08181561397562818,-0.0691673981034392
Longilinea,,False,0.06735830713758602,-0.058534879618141245
Luteimonas,,False,-0.07742825005947578,0.032214424147325955
Lysobacter,,True,0.1475692197877543,-0.08676209082162162
M2PT2-76_termite_group,,False,0.13803244916102994,0.010698002330763654
Mesorhizobium,,False,0.20736625106684636,0.06307841581228851
Methanothrix,,False,0.013721160616216505,-0.03346888540525481
Microbacterium,,False,0.06392606628912854,0.03995809706104874
Millisia,,False,0.19844193852429579,0.06167904063487672
Neochlamydia,,False,-0.003549753968435874,-0.0183762275389568
Niabella,,False,-0.28035144505007326,0.045821483489279426
Niveibacterium,,False,-0.2694405971312246,0.01351798625213701
Novosphingobium,,False,0.17348036690427396,0.08946648310612797
OLB12,,False,-0.199314166635558,-0.033744374211575605
OLB15,,False,0.1711708047498233,0.010618736994958057
Ochrobactrum,,False,0.014511515020267972,-0.02619209106957797
P3OB-42,,False,-0.13950815595531285,-0.03194437915980146
Pannonibacter,,False,-0.28418251316092846,0.025292588902429608
Pedomicrobium,,False,0.027270291163930937,-0.08884573684945948
Persicitalea,,False,0.22517145010899514,0.07435012054397382
Phaeodactylibacter,,False,0.21617478755938058,0.012300765703165429
Phreatobacter,,False,0.2138352201229302,0.04480009250515223
Pir4_lineage,,False,0.22649343457046328,0.04269596130827394
Pirellula,,False,0.013573920073618208,0.031937780651233365
Planococcus,,False,-0.021868706115477317,0.0058732937681973945
Prosthecobacter,,False,0.12657341538921918,-0.05564605112548097
Pseudofulvimonas,,False,-0.21739826078916058,-0.013186220263961166
Pseudoxanthomonas,,True,-0.22681175047471294,0.00011859743237279061
Rheinheimera,,False,0.023675019685677045,-0.01435457198181874
Rhodobacter,,False,0.0753671226754246,-0.02270760440179109
Rhodoplanes,,True,0.2575653167511464,0.07380525275010912
Runella,,False,-0.1573500878254224,-0.049006647345246665
Rurimicrobium,,False,0.11623503117275741,-0.007793941188176255
SM1A02,,False,-0.14824829599842917,-0.0184371323585066
Sediminibacterium,,True,-0.2721952389186856,0.06282050779031888
Shinella,,False,-0.23863249759904567,-0.0017069613329810435
Smithella,,False,0.002944394900509997,-0.017874111337436563
Sphingopyxis,,False,-0.2672659704155568,0.04708275634957929
Stenotrophomonas,,False,-0.2776019060276987,0.06026312751038809
Sulfuritalea,,False,-0.0021985298226315357,-0.09635233828176568
Taibaiella,,False,-0.28572448061460465,0.002616003511441066
Terrimicrobium,,False,0.22993744975366234,0.023462855180876277
Terrimonas,,False,0.18804331139169816,-0.005824679286040548
Thermomonas,,False,-0.02534567784135848,-0.062558685668376
Turneriella,,False,0.010183780879154128,-0.0425573986574143
Vicingus,,False,0.025774301780361192,-0.07350914291831695
WCHB1-32,,False,0.03622655940345977,-0.011223939171766586
Xanthobacter,,False,0.20078928926253659,0.02590342822903729
alphaI_cluster,,True,0.22153139218585577,0.09061026614395681
midas_g_100370,,False,-0.1181495287293034,-0.07854753724089111
midas_g_100664,,False,-0.12591893756082043,0.017211439860310575
midas_g_10077,,False,0.03318141452016264,-0.026759908367263944
midas_g_10471,,False,0.0358088766597377,-0.04492266134306845
midas_g_10587,,False,-0.21745852213315942,-0.012413258107443793
midas_g_10951,,False,0.01553829911349762,-0.06827719985941144
midas_g_11580,,False,0.023147885113069432,-0.052792487569760564
midas_g_1159,,False,0.01350644357776256,-0.025575389119446037
midas_g_11689,,False,0.05906824760985824,-0.0038325033277663116
midas_g_1194,,False,-0.27368571571627204,0.06556113437149529
midas_g_12111,,False,0.05357047631454218,-0.05177630627131776
midas_g_12426,,False,0.0934948640377594,-0.07467886789792233
midas_g_12777,,False,0.23922602315200966,-0.027149096016057937
midas_g_12864,,False,-0.010208304045789268,-0.09761424550640818
midas_g_12887,,True,0.21856787784655984,-0.0017894638959370193
midas_g_13287,,False,0.08810525775819274,-0.08559663190490437
midas_g_1334,,False,-0.11331220252560034,-0.05739368449996694
midas_g_13682,,False,0.0425169231895162,-0.054068738907624855
midas_g_1409,,False,0.035636684890984205,-0.10139542606484216
midas_g_1421,,False,0.054981832995032794,-0.01315090318202512
midas_g_14268,,False,0.2500427537528808,0.049035478841318314
midas_g_14365,,False,-0.23524571926255208,0.06108722517742162
midas_g_15015,,False,0.08184942371255358,-0.052272679144294426
midas_g_155,,False,0.2212192714697657,-0.0414074570843775
midas_g_15976,,False,-0.2164735608298921,0.046606758852406054
midas_g_16643,,False,0.24017152143368384,0.028332498498856114
midas_g_171,,True,0.1470262627533628,-0.11801801255490596
midas_g_17667,,False,0.07386420563959907,-0.09655178458936477
midas_g_179,,False,0.08224129881374707,-0.06123885226540293
midas_g_17912,,False,0.016257496784619362,-0.037780953256941495
midas_g_18382,,False,0.06216498832364075,-0.06407563896994506
midas_g_1955,,False,0.18985489913489925,-0.03136899648340508
midas_g_201,,False,-0.05749355264223928,0.1093353356592514
midas_g_2019,,True,0.18725484227063682,0.029885884898682963
midas_g_2126,,False,0.1760943173262765,-0.05097680493020496
midas_g_22263,,False,0.04209943341732019,-0.04088950571350971
midas_g_225,,False,0.08977663377042303,-0.07594773020718007
midas_g_23116,,False,-0.2546719801065975,-0.002261875094610723
midas_g_23270,,False,-0.010056288087170797,-0.05703569020225518
midas_g_23286,,False,0.2206447457446568,-0.0578793252531435
midas_g_2383,,False,0.1917194236998108,0.02465850318175998
midas_g_23973,,False,0.16710365887245787,0.039703940822550944
midas_g_2400,,False,0.2408393216221285,0.0825828428575756
midas_g_2475,,False,0.019864112732891487,-0.013536500570111236
midas_g_251,,False,-0.2769385184674156,0.04246614327045838
midas_g_25177,,False,0.012878087376974942,-0.045568950123698666
midas_g_26526,,False,0.006869679530652168,-0.05287757710310286
midas_g_26667,,True,0.1933393719882087,0.06257850539917793
