organism,module,peak_phase,panel,vector,vector_main_phase,projection,cosine,abs_CAP,proj_rank,is_best_driver
Ca_Sarcinithrix,M3,V,performance,peakN2O [mg/L],IV,0.1246,0.2774,0.4493,13,False
midas_g_41804,M2,IV,performance,peakN2O [mg/L],IV,0.1003,0.9271,0.1082,14,False
midas_g_26667,M3,V,performance,peakN2O [mg/L],IV,0.0985,0.3088,0.3189,15,False
midas_g_31688,M3,V,performance,peakN2O [mg/L],IV,0.097,0.24,0.404,16,False
alphaI_cluster,M3,V,performance,peakN2O [mg/L],IV,0.0949,0.213,0.4458,17,False
midas_g_3943,M3,V,performance,peakN2O [mg/L],IV,0.0681,0.226,0.3012,18,False
Aeromonas,M1,III,performance,peakN2O [mg/L],IV,0.0535,0.9994,0.0535,19,True
Azospira,M1,II,performance,peakN2O [mg/L],IV,0.0525,0.2037,0.2579,20,True
midas_g_973,M2,V,performance,peakN2O [mg/L],IV,0.0268,0.1648,0.1625,21,False
Ca_Competibacter,M1,II,performance,peakN2O [mg/L],IV,0.0062,0.0218,0.2826,22,True
Hydrogenophaga,M1,III,performance,peakN2O [mg/L],IV,-0.002,-0.0226,0.0866,23,True
Dokdonella,M1,IV,performance,peakN2O [mg/L],IV,-0.031,-0.2601,0.119,24,True
Pseudoxanthomonas,M1,I,performance,peakN2O [mg/L],IV,-0.2309,-0.5592,0.4129,25,True
Zoogloea,M1,I,performance,peakN2O [mg/L],IV,-0.3328,-0.698,0.4767,26,True
Sediminibacterium,M1,I,performance,peakN2O [mg/L],IV,-0.3779,-0.7359,0.5135,27,True
midas_g_428,M1,I,performance,peakN2O [mg/L],IV,-0.3896,-0.7262,0.5364,28,True
Thauera,M1,I,performance,peakN2O [mg/L],IV,-0.3919,-0.6885,0.5692,29,True
Rhodoplanes,M3,V,performance,specific denitrification rates,V,0.4605,0.9998,0.4606,1,True
Ca_Sarcinithrix,M3,V,performance,specific denitrification rates,V,0.4493,0.9999,0.4493,2,True
Ca_Accumulibacter,M3,V,performance,specific denitrification rates,V,0.4462,0.932,0.4787,3,True
alphaI_cluster,M3,V,performance,specific denitrification rates,V,0.4452,0.9988,0.4458,4,True
midas_g_31688,M3,V,performance,specific denitrification rates,V,0.4039,0.9998,0.404,5,True
midas_g_71310,M3,V,performance,specific denitrification rates,V,0.3989,0.9803,0.4069,6,True
midas_g_2019,M3,V,performance,specific denitrification rates,V,0.3593,0.9822,0.3658,7,True
Ca_Caldilinea,M3,IV,performance,specific denitrification rates,V,0.3444,0.9642,0.3572,8,True
midas_g_12887,M3,IV,performance,specific denitrification rates,V,0.3428,0.9627,0.3561,9,True
midas_g_26667,M3,V,performance,specific denitrification rates,V,0.3185,0.9988,0.3189,10,True
midas_g_3943,M3,V,performance,specific denitrification rates,V,0.301,0.9993,0.3012,11,True
midas_g_8672,M2,IV,performance,specific denitrification rates,V,0.2327,0.9154,0.2542,12,False
Lysobacter,M2,IV,performance,specific denitrification rates,V,0.1962,0.6878,0.2853,13,False
midas_g_36422,M2,III,performance,specific denitrification rates,V,0.1897,0.7374,0.2573,14,False
midas_g_171,M2,IV,performance,specific denitrification rates,V,0.1629,0.5185,0.3142,15,False
midas_g_973,M2,V,performance,specific denitrification rates,V,0.1617,0.9951,0.1625,16,True
midas_g_61007,M2,IV,performance,specific denitrification rates,V,0.1451,0.6746,0.2151,17,False
midas_g_41804,M2,IV,performance,specific denitrification rates,V,0.0653,0.6039,0.1082,18,False
Aeromonas,M1,III,performance,specific denitrification rates,V,0.0122,0.2283,0.0535,19,False
Hydrogenophaga,M1,III,performance,specific denitrification rates,V,-0.0841,-0.9709,0.0866,20,False
Dokdonella,M1,IV,performance,specific denitrification rates,V,-0.119,-1.0,0.119,21,False
Denitratisoma,M1,III,performance,specific denitrification rates,V,-0.1294,-0.486,0.2662,22,False
Azospira,M1,II,performance,specific denitrification rates,V,-0.23,-0.8919,0.2579,23,False
Ca_Competibacter,M1,II,performance,specific denitrification rates,V,-0.2711,-0.9594,0.2826,24,False
Pseudoxanthomonas,M1,I,performance,specific denitrification rates,V,-0.3907,-0.9463,0.4129,25,False
Zoogloea,M1,I,performance,specific denitrification rates,V,-0.4164,-0.8735,0.4767,26,False
Sediminibacterium,M1,I,performance,specific denitrification rates,V,-0.4343,-0.8458,0.5135,27,False
midas_g_428,M1,I,performance,specific denitrification rates,V,-0.4577,-0.8533,0.5364,28,False
Thauera,M1,I,performance,specific denitrification rates,V,-0.5008,-0.8799,0.5692,29,False
