genus,functional_category,in_prev_top10,plot_CAP1,plot_CAP2
Aeromonas,,True,0.017320295510573607,-0.024393718662923364
Azospira,,True,-0.0989987771849297,-0.0987589540915529
Ca_Caldilinea,,True,0.20458107070952886,0.009842046230587136
Ca_Leptovillus,,True,0.24888107348016172,-0.030859159080754574
Ca_Sarcinithrix,,True,0.24225584895059513,0.0717142183255962
Cloacibacterium,,True,-0.3075615933883672,0.0505797700101495
Denitratisoma,,True,-0.02134381107509358,-0.1406359718131381
Dokdonella,,True,-0.06387098066776932,-0.019548931550524888
Gemmobacter,,True,-0.2953079746191429,0.01700658978863165
Holophagae,,True,0.08268910938757541,0.0355036929706506
Hydrogenophaga,,True,-0.04061091927806114,-0.02459897803386915
Ignavibacteria,,True,0.190259655389177,-0.09723872315793002
Lysobacter,,True,0.14840653961918865,-0.07242035173618752
Pseudoxanthomonas,,True,-0.23597300824444928,0.001853299103359425
Rhizobiales,,True,0.2124107153614826,0.07367017738562587
Rhodoplanes,,True,0.24858683087392672,0.07302001945203027
Rhodothermaceae,,True,0.2143345687045517,0.06715577471906074
Sediminibacterium,,True,-0.28881242332568413,0.06664146673080404
alphaI_cluster,,True,0.23331175348795394,0.08606862577009594
Ca_Competibacter,GAOs,True,-0.12829991510098615,-0.08689695619777327
Ca_Accumulibacter,PAOs,True,0.2741561147023615,-0.012904683037221046
Thauera,Putative GAOs,True,-0.3237089405292249,0.05366747328946988
Zoogloea,Putative PAOs,True,-0.2703259499307389,0.04774359664551819
