,Spirochaetaceae.3,Bacillales.3,Spirochaetaceae.9,Spirochaetaceae.10,Spirochaetaceae.11,Spirochaetaceae.16,Spirochaetaceae.21,Spirochaetaceae.23,Spirochaetaceae.24,Spirochaetaceae.25,Treponema.1,Spirochaetaceae.30,Leptonema.1,Turneriella.2,Spirochaetota.1,Spirochaetota.4,Christensenellaceae.1,Christensenellaceae.2,Sumerlaeaceae.1,Christensenellaceae.13,Christensenellaceae.14,Christensenellaceae.15,Clostridia.2,Clostridiaceae.7,Proteiniclasticum.1,Hungateiclostridiaceae.3,Trichococcus.1,Planococcus.1,Lysinibacillus.1,Exiguobacterium.1,Exiguobacterium.3,Enterococcus.3,Acetoanaerobium.3,Fusibacter.1,Fusibacter.3,Fusibacter.4,Acidaminobacter.3,Peptostreptococcales-Tissierellales.1,Romboutsia.4,Blastocatella.4,Aridibacter.1,Blastocatella.5,Blastocatellaceae.3,Blastocatellaceae.4,Blastocatellaceae.6,Luteitalea.2,Luteitalea.4,Bacteria.83,Bacteria.84,Bacteria.85,Bacteria.86,Bacteria.87,Bacteria.89,Bacteria.90,Bacteria.94,Chloroflexi.2,Sporomusaceae.5,Armatimonadota.4,Fimbriimonadaceae.4,Fimbriimonadaceae.12,Thermomicrobiales.15,Thermomicrobiales.16,Desulfitobacteriales.1,Ca_Obscuribacter.3,Sericytochromatia.1,Sericytochromatia.2,Sericytochromatia.4,Solirubrobacterales.2,Corynebacterium.1,Corynebacterium.3,Dietzia.1,Rhodococcus.2,Millisia.1,Mycobacterium.9,Mycobacterium.11,Micrococcus.1,Micrococcaceae.2,Kocuria.3,Glutamicibacter.1,Leifsonia.2,Leucobacter.2,Leucobacter.3,Actinomycetaceae.2,Ca_Phosphoribacter.1,Intrasporangiaceae.4,Tetrasphaera.3,Dermatophilaceae.2,Propionibacteriaceae.1,Actinobacteria.4,Actinobacteria.6,Actinobacteria.11,Micropruina.2,Propioniciclava.1,Aestuariimicrobium.2,Microtrichaceae.5,Iamia.6,Microtrichaceae.8,Hydrogenedensaceae.4,Hydrogenedensaceae.8,Hydrogenedensaceae.14,Hydrogenedensaceae.16,Hydrogenedensaceae.18,Elusimicrobia.3,Gemmatimonadaceae.3,Gemmatimonas.2,Gemmatimonas.3,Holophagaceae.1,Geothrix.2,Holophagaceae.4,Holophagaceae.5,Holophagaceae.9,Desulfuromonadia.3,Polyangiaceae.2,Pajaroellobacter.3,Myxococcaceae.5,Myxococcaceae.6,Myxococcaceae.8,Myxococcaceae.11,Sandaracinus.3,Sandaracinaceae.2,Polyangia.9,Polyangia.17,Desulfobulbus.4,Desulfobacterium_catecholicum_group.1,Bdellovibrio.3,Bdellovibrio.4,Bdellovibrio.5,Bdellovibrio.7,Bdellovibrio.13,Bdellovibrio.18,Bdellovibrio.19,Bdellovibrio.23,Bdellovibrionaceae.6,Bdellovibrionaceae.7,Bdellovibrionaceae.9,Bdellovibrio.28,Bradymonadales.1,Bradymonadales.2,Desulfovibrio.16,Desulfovibrio.17,Desulfovibrio.18,Desulfovibrio.21,Desulfovibrio.23,Desulfovibrio.24,Desulfomicrobium.2,Desulfomicrobium.3,Nannocystis.2,Haliangium.4,Haliangium.5,Haliangium.8,Haliangium.9,Desulfobacterota.4,Rhodospirillales.3,Ca_Bealeia.3,Dongia.3,Roseomonas.4,Lacibacterium_aquatile.5,Gemmobacter.1,Rhodobacter.1,Rhodobacteraceae.1,Rhodobacteraceae.3,Rhodobacter.3,Rhodobacteraceae.7,Pseudorhodobacter.1,Rhodobacteraceae.10,Paracoccus.1,Defluviimonas.1,Paracoccus.3,Rhodobacteraceae.14,Gemmobacter.3,Rhodobacteraceae.16,Rhodobacteraceae.17,Rhodobacteraceae.18,Rhodobacteraceae.19,Defluviimonas.2,Rhodobacter.5,Rhodobacter.7,Rhodobacter.8,Rhodobacter.9,Rhodobacter.13,Rhodobacteraceae.22,Paracoccus.7,Paracoccus.9,Paracoccus.12,Paracoccus.13,Paracoccus.16,Paracoccus.17,Amaricoccus.2,Rhodobacteraceae.23,Amaricoccus.3,Amaricoccus.4,Hyphomicrobium.6,Hyphomicrobium.9,Hyphomicrobium.13,Pedomicrobium.4,Pedomicrobium.5,Hyphomicrobium.16,Hyphomicrobium.17,Hoeflea.1,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium.1,Shinella.1,Shinella.2,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium.4,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium.5,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium.6,Ochrobactrum.1,Pleomorphomonadaceae.2,Pleomorphomonadaceae.3,Pleomorphomonadaceae.4,Bauldia.3,Afipia.2,Xanthobacteraceae.2,Bradyrhizobium.1,Rhodoplanes.1,Xanthobacteraceae.4,Phreatobacter.1,Phreatobacter.3,Phreatobacter.5,Chelatococcus_asaccharovorans.1,Bosea.3,Bosea.5,Bosea.8,Bosea.10,Brevundimonas.4,Brevundimonas.7,Brevundimonas.8,Brevundimonas.11,Brevundimonas.12,Phenylobacterium.1,Phenylobacterium.2,Rhodobacteraceae.27,Rhodobacteraceae.30,alphaI_cluster.1,Beijerinckiaceae.5,Beijerinckiaceae.6,Xanthobacteraceae.7,Xanthobacteraceae.9,Xanthobacteraceae.11,Xanthobacteraceae.12,Xanthobacter.1,Pseudorhodoplanes.2,Pseudorhodoplanes.4,Nordella.1,Rhodobacteraceae.33,Rhodobacteraceae.34,Devosia.1,Devosia.10,Devosia.11,Devosia.12,Stappia.1,Pannonibacter.1,Pannonibacter.2,Rhizobiales.5,Rhizobiales.10,Mesorhizobium.3,Rhizobiaceae.3,Aminobacter.2,Rhizobiaceae.4,Mesorhizobium.4,Rhizobiales.17,Mesorhizobium.9,Mesorhizobium.10,Mesorhizobium.11,Mesorhizobium.13,Aminobacter.3,Mesorhizobium.15,Mesorhizobium.20,Mesorhizobium.21,Rhizobiaceae.5,Rhizobiaceae.7,Rhizobiaceae.8,Rhizobiaceae.9,Rhizobiaceae.10,Mesorhizobium.22,Rhizobiaceae.11,Aminobacter.6,Sandaracinobacter.1,Sphingosinicella.1,Sphingomonas.8,Blastomonas.1,Novosphingobium.2,Sphingopyxis.2,Sphingopyxis.5,Sphingopyxis.6,Sphingopyxis.10,Sphingopyxis.11,Sphingopyxis.14,Sphingopyxis.18,Sphingopyxis.19,Sphingopyxis.21,Sphingopyxis.23,Micropepsaceae.1,Rickettsiales.3,Reyranella.1,Reyranella.3,Reyranella.8,Reyranella.9,Rhizobiales.19,Rhizobiales.20,Rhizobiales.21,Rhizobiales.23,Defluviicoccus.3,Defluviicoccus.4,Defluviicoccus.5,Defluviicoccus.6,Defluviicoccus.7,Defluviicoccus.10,Defluviicoccus.11,Defluviicoccus.12,Defluviicoccus.13,Rhodospirillales.14,Micavibrionales.1,Micavibrionales.2,Micavibrionales.3,Micavibrionales.4,Micavibrionales.6,Micavibrionales.8,Paracaedibacteraceae.1,Alphaproteobacteria.12,Paracaedibacteraceae.9,Paracaedibacteraceae.15,Ca_Alysiosphaera.3,Ca_Alysiosphaera.4,Oligoflexia.6,Oligoflexia.9,Holophagae.4,Holophagae.5,Holophagae.8,Victivallales.5,Kiritimatiellae.6,Kiritimatiellae.8,Luteolibacter.9,Verrucomicrobiales.2,Oikopleura.1,Oikopleura.3,Oikopleura.4,Chthoniobacteraceae.3,Terrimicrobium.3,Verrucomicrobiaceae.6,Verrucomicrobiaceae.8,Prosthecobacter.2,Prosthecobacter.3,Prosthecobacter.4,Prosthecobacter.6,Puniceicoccaceae.5,Cephaloticoccus.1,Cephaloticoccus.2,Lacunisphaera.7,Lacunisphaera.8,Lacunisphaera.9,Anaerolineae.2,Longilinea.1,Leptolinea.1,Leptolinea.4,Anaerolineaceae.3,Anaerolineaceae.11,Anaerolineaceae.12,Ca_Villigracilis.3,Ca_Villigracilis.4,Ca_Villigracilis.9,Ca_Villigracilis.10,Ca_Villigracilis.12,Anaerolineaceae.15,Anaerolineaceae.17,Anaerolineaceae.24,Anaerolineaceae.26,Anaerolinea.4,Anaerolinea.5,Ornatilinea.1,Leptolinea.14,Anaerolinea.13,Ca_Leptovillus.9,Ca_Leptovillus.11,Caldilineaceae.2,Caldilineaceae.4,Caldilineaceae.7,Ca_Caldilinea.1,Caldilineaceae.9,Ca_Defluviifilum.2,Ca_Caldilinea.2,Caldilineaceae.10,Caldilineaceae.14,Ca_Sarcinithrix.1,Ca_Sarcinithrix.2,Anaerolineaceae.31,Flexifilaceae.1,Flexifilaceae.9,Flexifilaceae.10,Flexifilaceae.13,Flexifilaceae.17,Flexifilaceae.24,Flexifilaceae.30,Flexifilaceae.31,Flexifilaceae.33,Flexifilaceae.34,Flexifilaceae.36,Flexifilaceae.38,Flexifilaceae.40,Flexifilaceae.41,Flexifilaceae.42,Flexifilaceae.45,Flexifilaceae.46,Flexifilaceae.49,Anaerolineae.16,Flexifilaceae.51,Flexifilaceae.52,Flexifilaceae.55,Flexifilaceae.56,Flexifilaceae.58,Flexifilaceae.61,Flexifilaceae.63,Flexifilaceae.64,Flexifilaceae.67,Ca_Flexifilum.2,Flexifilaceae.78,Roseiflexaceae.10,Herpetosiphon.4,Paludibaculum.3,Paludibaculum.8,Paludibaculum.12,Acidobacteriae.1,Bryobacter.8,Bryobacter.11,Bryobacter.12,Bryobacter.14,Nitrospira.2,Nitrospira.3,Prototheca_moriformis.2,Patescibacteria.1,Ca_Falkowbacteria.7,Ca_Komeilibacteria.2,Ca_Komeilibacteria.3,Ca_Pacebacteria.2,Ca_Pacebacteria.4,Ca_Pacebacteria.6,Ca_Pacebacteria.7,Ca_Pacebacteria.8,Ca_Pacebacteria.9,Gracilibacteria.1,Gracilibacteria.2,Gracilibacteria.4,Gracilibacteria.6,Gracilibacteria.10,Gracilibacteria.15,Parcubacteria.3,Parcubacteria.4,Parcubacteria.5,Ca_Zambryskibacteria.2,Parcubacteria.9,Ca_Nomurabacteria.4,Ca_Gottesmanbacteria.3,Gracilibacteria.17,Gracilibacteria.19,Gracilibacteria.30,Patescibacteria.2,Bacteria.119,Bacteria.120,Bacteria.137,Rickettsiales.7,Bacteria.140,Bacteria.151,Bacteria.156,Rickettsiales.13,Rickettsiales.15,Bacteria.162,Bacteria.166,Bacteria.173,Bacteria.176,Fungi.1,Nucletmycea.6,Planctomycetota.4,Planctomycetota.6,Phycisphaeraceae.3,Phycisphaeraceae.5,Phycisphaeraceae.13,Phycisphaeraceae.16,Phycisphaeraceae.18,Phycisphaeraceae.20,Phycisphaeraceae.22,Phycisphaeraceae.26,Phycisphaeraceae.28,Phycisphaeraceae.31,Phycisphaeraceae.32,Phycisphaeraceae.34,Planctomycetota.9,Planctomycetota.13,Planctomycetota.15,Tundrisphaera.1,Isosphaeraceae.4,Paludisphaera.3,Paludisphaera.6,Singulisphaera.10,Fimbriiglobus.2,Planctomicrobium.2,Rubinisphaeraceae.1,Rubinisphaeraceae.9,Planctomycetales.1,Blastopirellula.1,Rhodopirellula.3,Pirellula.1,Pirellula.5,Pirellula.8,Pirellula.10,Pirellulaceae.37,Pirellulaceae.38,Pirellulaceae.44,Planctomycetota.21,Ignavibacteriales.2,Ignavibacteriales.3,Ignavibacterium.1,Ignavibacterium.2,Ignavibacterium.4,Ignavibacteriales.8,Ignavibacteriales.11,Ignavibacteriales.12,Ignavibacteriales.13,Bacillales.7,Kryptoniales.1,Chlorobium.1,Ignavibacteria.5,Ignavibacteria.6,Ignavibacteria.7,Ignavibacteria.12,Ignavibacteria.13,Ignavibacteria.31,Kapabacteriales.2,Kapabacteriales.3,Kapabacteriales.6,Kapabacteriales.8,Kapabacteriales.11,Kapabacteriales.17,Kapabacteriales.18,Kapabacteriales.24,Rhodothermaceae.5,Bacteroidia.9,Sphingobacteriales.2,Sphingobacteriales.3,Sphingobacteriales.5,Sphingobacteriales.6,Sphingobacteriales.7,Sphingobacteriales.9,Sphingobacteriales.10,Sphingobacteriales.11,Sphingobacteriales.13,Sphingobacteriales.15,Sphingobacteriales.16,Sphingobacteriales.17,Sphingobacteriales.19,Sphingobacteriales.21,Lentimicrobium.2,Lentimicrobium.8,Lentimicrobiaceae.10,Vicingus.1,Bacteroidales.10,Bacteroidales.13,Sphingobacteriales.30,Sphingobacteriales.34,Sphingobacteriales.36,Sphingobacteriales.38,Sphingobacteriales.44,Bacteroidia.11,Prolixibacteraceae.6,Prolixibacteraceae.8,Flavobacteriales.3,Flavobacteriales.4,Flavobacteriales.5,Flavobacteriales.7,Flavobacteriales.8,Cytophaga_xylanolytica_group.1,Sphingobacteriales.48,Paludibacter.6,Sphingobacteriales.50,Sphingobacteriales.53,Williamwhitmaniaceae.1,Williamwhitmaniaceae.4,Terrimonas.3,Dinghuibacter.2,Flavitalea.4,Flavitalea.5,Terrimonas.15,Chitinophagaceae.1,Terrimonas.16,Terrimonas.19,Terrimonas.21,Terrimonas.22,Terrimonas.23,Terrimonas.24,Terrimonas.26,Niabella.2,Ferruginibacter.2,Ferruginibacter.3,Ferruginibacter.7,Ferruginibacter.13,Ferruginibacter.17,Ferruginibacter.20,Ferruginibacter.23,Chitinophagaceae.11,Flavihumibacter.1,Chitinophagaceae.14,Chitinophagaceae.18,Chitinophagaceae.19,Sediminibacterium.5,Taibaiella.5,Edaphobaculum.2,Edaphobaculum.4,Edaphobaculum.5,Edaphobaculum.6,Edaphobaculum.8,Rurimicrobium.1,Rurimicrobium.2,Rurimicrobium.3,Rurimicrobium.4,Edaphobaculum.9,Edaphobaculum.13,Aurantisolimonas.3,Chitinophagales.8,Chitinophagales.9,Chitinophagales.10,Saprospiraceae.3,Saprospiraceae.5,Saprospiraceae.7,Ca_Epiflobacter.2,Saprospiraceae.13,Ca_Epiflobacter.4,Phaeodactylibacter.3,Saprospiraceae.16,Ca_Parvibacillus.1,Haliscomenobacter.2,Pedobacter.3,Pedobacter.6,Bacteroidia.17,Fluviicola.4,Flavobacterium.2,Flavobacterium.4,Flavobacterium.5,Flavobacterium.8,Flavobacterium.9,Flavobacterium.11,Flavobacterium.12,Flavobacterium.15,Flavobacterium.18,Flavobacterium.20,Flavobacterium.21,Flavobacterium.25,Flavobacterium.26,Flavobacterium.28,Flavobacterium.32,Flavobacterium.33,Flavobacteriaceae.1,Cloacibacterium.1,Cloacibacterium.2,Cloacibacterium.7,Cloacibacterium.9,Cloacibacterium.14,Chryseobacterium.3,Chryseobacterium.4,Chryseobacterium.5,Chryseobacterium.6,Chryseobacterium.9,Flavobacteriales.10,Emticicia.1,Leadbetterella.4,Leadbetterella.13,Leadbetterella.14,Leadbetterella.15,Leadbetterella.18,Lacihabitans.1,Spirosomaceae.1,Bacteroidia.19,Microscillaceae.5,Microscillaceae.11,Microscillaceae.15,Chryseolinea.1,Microscillaceae.18,Microscillaceae.24,Persicitalea.2,Persicitalea.3,Runella.1,Runella.2,Runella.3,Runella.4,Runella.5,Runella.6,Runella.7,Babeliales.3,Babeliaceae.1,Babeliales.17,Babeliales.18,Acidibacter.3,Acidithiobacillaceae.1,Gammaproteobacteria.7,Gammaproteobacteria.8,Gammaproteobacteria.9,Acinetobacter.3,Halomonas.3,Gammaproteobacteria.10,Aeromonas.1,Shewanella.1,Idiomarina_sp..1,Idiomarina_sp..3,Rheinheimera.1,Rheinheimera.3,Rheinheimera.4,Rheinheimera.9,Rheinheimera.13,Pseudomonas.4,Pseudomonas.7,Pseudomonas.8,Pseudomonas.9,Pseudomonas.11,Pseudomonas.12,Pseudomonas.13,Pseudomonas.18,Legionella.11,Plasticicumulans.4,Aquimonas.1,Xanthomonadaceae.3,Aquimonas.4,Rhodanobacteraceae.1,Gammaproteobacteria.24,Arenimonas.1,Arenimonas.3,Arenimonas.4,Arenimonas.5,Arenimonas.6,Arenimonas.7,Dokdonella.2,Dokdonella.4,Dokdonella.9,Dokdonella.17,Dokdonella.20,Luteimonas.1,Luteimonas.2,Luteimonas.5,Luteimonas.6,Thermomonas.1,Thermomonas.2,Xanthomonadaceae.4,Stenotrophomonas.1,Stenotrophomonas.2,Pseudoxanthomonas.1,Pseudoxanthomonas.2,Pseudoxanthomonas.3,Pseudoxanthomonas.6,Pseudoxanthomonas.21,Pseudoxanthomonas.23,Stenotrophomonas.3,Lysobacter.2,Xanthomonadaceae.6,Luteimonas.7,Luteimonas.9,Luteimonas.10,Aquimonas.5,Pseudofulvimonas.1,Pseudofulvimonas.2,Pseudofulvimonas.3,Rhodanobacteraceae.5,Rhodanobacteraceae.8,Nitrosomonadaceae.1,Rhodocyclaceae.8,Sulfuritalea.2,Denitratisoma.2,Denitratisoma.3,Denitratisoma.4,Azovibrio.1,Denitratisoma.8,Sulfuritalea.4,Sulfuritalea.5,Methylotenera.1,Burkholderiales.4,Burkholderiales.6,Burkholderiales.8,Undibacterium.2,Lautropia.1,Lautropia.2,Nitrosomonas.1,Rhodocyclaceae.12,Azoarcus.1,Rhodocyclaceae.13,Denitromonas.1,Zoogloea.2,Zoogloea.3,Zoogloea.11,Azoarcus.2,Niveibacterium.1,Thauera.15,Thauera.30,Thauera.32,Thauera.33,Thauera.34,Thauera.39,Thauera.47,Thauera.48,Thauera.49,Thauera.50,Thauera.54,Thauera.56,Thauera.57,Thauera.60,Thauera.66,Thauera.68,Thauera.73,Thauera.81,Thauera.93,Thauera.96,Ca_Accumulibacter.2,Propionivibrio.1,Propionivibrio.2,Ca_Accumulibacter.3,Ca_Accumulibacter.8,Ca_Accumulibacter.23,Ca_Accumulibacter.24,Ca_Accumulibacter.25,Rhodocyclaceae.17,Dechlorobacter.4,Rhodocyclaceae.20,Azospira.1,Azonexus.1,Azonexus.3,Rhodocyclaceae.24,Azonexus.5,Azonexus.6,Azonexus.7,Azonexus.8,Azonexus.10,Azonexus.12,Rhodocyclaceae.25,Azonexus.13,Azonexus.15,Azospira.3,Sutterellaceae.3,Sutterellaceae.8,Sutterellaceae.9,Comamonadaceae.8,Comamonadaceae.9,Inhella.1,Inhella.3,Comamonadaceae.12,Comamonadaceae.17,Comamonadaceae.21,Comamonadaceae.24,Piscinibacter.1,Comamonadaceae.27,Hydrogenophaga.1,Comamonadaceae.33,Comamonadaceae.34,Comamonadaceae.35,Comamonadaceae.36,Comamonadaceae.41,Comamonadaceae.42,Comamonadaceae.43,Comamonadaceae.45,Simplicispira.1,Acidovorax.1,Rhodoferax.1,Comamonadaceae.50,Hydrogenophaga.2,Hydrogenophaga.5,Hydrogenophaga.6,Comamonadaceae.54,Comamonadaceae.56,Comamonadaceae.57,Diaphorobacter.1,Comamonadaceae.59,Comamonadaceae.69,Acidovorax.3,Comamonadaceae.72,Ca_Competibacter.24,Ca_Competibacter.26,Ca_Competibacter.30,Ca_Competibacter.32,Ca_Competibacter.34,Anaerolineae.19,Anaerolineae.23,Anaerolineae.24,Ca_Competibacter.48,Ca_Contendobacter.2,Ca_Competibacter.49,Ca_Competibacter.50,Ca_Competibacter.51,Ca_Competibacter.52,Ca_Competibacter.57,Ca_Competibacter.63,Ca_Competibacter.65,Ca_Competibacter.73,Ca_Competibacter.81,Ca_Competibacter.83,Ca_Competibacter.85,Ca_Competibacter.87,Ca_Competibacter.89,Ca_Competibacter.94,Ca_Competibacter.95,Ca_Competibacter.97,Ca_Competibacter.99,Ca_Competibacter.100,Ca_Competibacter.103,Ca_Competibacter.106,Ca_Competibacter.107,Ca_Competibacter.108,Ca_Competibacter.109,Ca_Competibacter.111,Ca_Competibacter.115,Ca_Competibacter.118,Ca_Competibacter.131,Ca_Competibacter.135,Ca_Competibacter.136,Ca_Competibacter.139,Ca_Competibacter.140,Ca_Competibacter.143,Ca_Competibacter.146,Ca_Competibacter.148,Ca_Competibacter.151,Ca_Competibacter.153,Ca_Competibacter.154,Ca_Competibacter.157,Ca_Competibacter.166,Ca_Competibacter.169,Ca_Competibacter.172,Ca_Competibacter.174,Ca_Competibacter.175,Ca_Competibacter.179,Ca_Competibacter.185,Ca_Competibacter.188,Ca_Competibacter.190,Ca_Competibacter.191,Ca_Competibacter.192,Ca_Competibacter.193,Ca_Competibacter.194,Ca_Competibacter.195,Ca_Competibacter.202,Ca_Competibacter.203,Ca_Competibacter.204,Ca_Competibacter.206,Ca_Competibacter.208,Ca_Competibacter.211
COD-Inf [mg/L],5,5,5,5,0,5,5,0,0,5,5,5,5,5,5,5,5,0,5,0,5,5,5,5,5,5,5,5,5,5,5,0,5,0,5,0,0,5,0,5,0,5,0,5,0,5,5,0,5,0,0,5,5,5,5,5,5,0,5,5,5,0,5,5,5,5,5,5,5,0,5,0,5,0,0,0,5,0,5,5,5,0,5,5,5,5,0,5,5,5,5,5,0,5,5,0,5,5,0,5,5,5,5,5,5,5,5,0,5,0,5,5,0,5,5,5,0,5,5,5,5,5,5,5,0,5,0,5,5,5,5,0,0,5,5,5,5,5,0,0,5,5,5,5,5,5,0,5,0,5,5,5,5,5,0,5,0,5,5,5,5,5,5,0,5,0,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,0,5,5,5,5,5,5,5,0,5,0,0,5,5,5,5,5,0,5,5,0,0,5,0,5,5,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,0,0,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,0,5,5,5,5,5,0,5,5,0,5,5,5,0,5,5,0,5,0,5,0,0,5,0,0,0,5,5,5,5,0,5,5,5,0,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,5,0,5,5,5,5,0,0,5,5,0,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,0,5,5,0,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,0,0,5,5,5,5,5,5,5,0,5,5,5,0,0,5,5,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,0,0,5,5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,0,5,5,5,0,5,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,0,5,0,5,0,5,5,0,0,0,5,5,0,5,0,0,0,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,0,0,5,5,5,5,5,5,5,0,5,5,5,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,0,5,5,0,5,5,5,0,5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,0,5,5,5,5,0,5,5,0,5,5,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,5,5,0,0,5,5,5,5,5,5,5,0,0,5,5,0,5,5,5,5,5,0,5,5,5,5,5,5,5,0,0,5,5,5,0,5,5,0,5,5,5,5,5,0,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,0,5,5,5,5,0,0,0,5,5,0,5,5,5,5,5,0,5,5,5,5,5,5,5,0,5,5,0,5,0,0,5,5,5,0,0,5,5,5,5,5,5,5,0,5,0,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,0,5,5,5,5,0,5,0,0,5,5,5,5,5,5,5,0,5,5,0,5,5,5,5,5,5,5,0,5,5,5,0,5,0,5,5,5,0,5,5,5,5,0,5,5,5,0,5,5,5,0,5,5,5,0,5,0,0,5,5,0,5,0,0,5,5,0,5,5,0,0,5,0,5,5,5,0,5,5,5,5,5,5,5,0,5,0,5,0,0,5,5,0,5,5,0,5,0,0,0,5,5,5
P-Inf [mg/L],12,12,12,12,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,12,12,12,0,12,12,12,12,12,12,12,0,12,12,12,12,12,12,12,12,12,12,0,12,12,12,12,12,12,12,12,12,0,12,12,0,12,12,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,12,12,0,12,12,12,12,12,12,12,12,12,12,12,0,12,12,12,12,0,12,12,12,12,12,12,12,12,12,12,12,0,12,0,12,12,12,12,0,12,12,12,12,12,12,0,0,12,12,12,12,12,12,0,12,12,12,12,12,12,12,0,12,12,12,12,12,12,12,12,12,12,0,12,12,12,12,12,12,12,12,12,12,12,12,0,12,12,12,12,12,12,12,12,12,12,12,0,12,12,12,12,12,12,12,12,0,12,12,12,12,12,12,12,12,12,0,0,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,12,12,12,12,12,12,0,12,0,12,0,12,12,12,12,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,12,12,12,12,12,12,12,12,12,12,12,12,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,12,12,12,12,12,12,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,12,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,12,0,12,12,12,12,12,12,12,12,12,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,12,12,12,12,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,12,12,12,12,0,12,12,12,12,0,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,12,0,12,12,12,12,12,0,12,12,12,12,12,12,12,0,12,12,12,12,12,12,12,12,12,0,12,12,12,12,12,12,12,12,12,0,12,12,12,12,12,12,12,0,12,12,12,12,12,12,12,0,12,12,0,12,12,12,12,12,12,12,12,12,12,12,12,12,0,12,12,12,0,12,12,12,12,0,12,12,12,12,12,12,12,12,12,12,12,0,12,0,0,12,12,0,12,0,0,12,12,0,12,12,12,0,12,12,12,12,12,0,12,12,12,12,12,12,12,0,12,0,12,12,0,12,12,12,12,12,0,12,12,0,0,12,12,12
