MAG	mag_iterativeID	genus	K00023	K00362	K00363	K00368	K00370	K00371	K00374	K00376	K00626	K00634	K00688	K00700	K00702	K00703	K00925	K00937	K01214	K01514	K01659	K01720	K01847	K01848	K01895	K01908	K02035	K02036	K02037	K02038	K02039	K02040	K02305	K02567	K02568	K03385	K03821	K04561	K05973	K07636	K07657	K15864	K15876	K22468
CAN_1_bin.148	Dokdonella.5	Dokdonella	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.6666	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6807	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.5897	2.2641	2.2716	2.7227	2.0231	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.8524	2.7796	0.0000	0.0000	0.0000
CAN_1_bin.174	Gracilibacteria.30	UBA5532	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CAN_1_bin.177	Pararhodobacter.1_m	Pararhodobacter	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CAN_1_bin.180	Bdellovibrio.13	UBA2316	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CAN_1_bin.195	Ca_Falkowbacteria.7	UBA919	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CAN_1_bin.2	Ignavibacteria.5		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CAN_1_bin.210	Dokdonella.14	Dokdonella	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CAN_1_bin.48	Paceibacteria.1_m		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CAN_1_bin.5	Micavibrionaceae.1_m	UBA1573	20.0615	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	19.8714	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	10.9995	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CAN_1_bin.77	Thermoanaerobaculia.1_m	UBA5066	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	13.2034	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CAN_1_bin.84	Phototrophicaceae.1_m	CFX2	0.0000	0.0000	0.0000	3.9772	0.0000	0.0000	0.0000	0.0000	14.4015	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.0828	8.6744	2.4459	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CAN_1_bin.98	Ca_Accumulibacter.23	Accumulibacter	0.0000	48.1471	31.4653	0.0000	0.0000	0.0000	0.0000	0.0000	101.2430	0.0000	44.9363	0.0000	0.0000	39.8832	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	45.5818	0.0000	0.0000	0.0000	0.0000	80.1853	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	38.7903
CAN_2_bin.125	Pseudoxanthomonas_A.1_m	Pseudoxanthomonas_A	31.7144	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.5272	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	9.3350	25.3225	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
