ko	mag	iterativeID	genus	CAN_1	CAN_2	CAN_3	CAN_4	CAN_5
K00370	coasm_bin.539	Flavobacterium.2_m	Flavobacterium	0.0000	0.0000	0.0000	0.0000	0.0000
K00370	coasm_bin.54	Phycisphaeraceae.34	UBA2396	0.0000	0.0000	0.0000	0.0000	0.0000
K00370	coasm_bin.540	Pseudohoeflea.1_m	Pseudohoeflea	0.0000	0.0000	0.0000	0.0000	0.0000
K00370	coasm_bin.542	Phycisphaeraceae.32		0.0000	0.0000	0.0000	0.0000	0.0000
K00370	coasm_bin.543	Anaerolineae.2	Fen-1058	0.0000	0.0000	0.0000	0.0000	0.0000
K00370	coasm_bin.547	Ca_Bealeia.3		0.0000	0.0000	0.0000	0.0000	0.0000
K00370	coasm_bin.548	Phnomibacter.1_m	Phnomibacter	0.0000	0.0000	0.0000	0.0000	0.0000
K00370	coasm_bin.55	Competibacter.3_m	Competibacter	1.7311	1.8248	1.4388	25.2681	20.8642
K00370	coasm_bin.551	Cyclobacteriaceae.2_m	UBA2336	0.0000	0.0000	0.0000	0.0000	0.0000
K00370	coasm_bin.555	Mesorhizobium.9	DUSC01	0.1676	0.3312	0.0000	0.5065	1.2862
K00370	coasm_bin.556	Myxococcaceae.6	JACRCT01	0.0000	0.0000	0.0000	0.0000	0.0000
K00370	coasm_bin.558	Chiayiivirga.3_m	Chiayiivirga	0.0000	0.0000	0.0000	0.0000	0.0000
K00370	coasm_bin.561	Ca_Pacebacteria.2		0.0000	0.0000	0.0000	0.0000	0.0000
K00370	coasm_bin.563	Hydrogenophaga.3_m	Hydrogenophaga	0.0000	0.0000	0.0000	0.0000	0.0000
K00370	coasm_bin.572	Villigracilaceae.2_m	UBA8950	0.0712	0.0000	0.0643	0.7530	0.4857
K00370	coasm_bin.578	Terrimicrobium.3	QYQL01	0.0000	0.0000	0.0000	0.0000	0.0000
K00370	coasm_bin.579	Flavobacteriales.7	PHOS-HE28	0.0000	0.0000	0.0000	0.0000	0.0000
K00370	coasm_bin.60	Blastopirellula.1	M30B19	0.0000	0.0000	0.0000	0.0000	0.0000
K00370	coasm_bin.61	Chitinophagaceae.14	UBA1930	0.0000	0.0000	0.0000	0.0000	0.0000
K00370	coasm_bin.70	Cephaloticoccus.1	UBA2377	0.0000	0.0000	0.0000	0.0000	0.0000
K00370	coasm_bin.74	Bacteroidales.2_m	JALNZU01	0.0000	0.0000	0.0000	0.0000	0.0000
K00370	coasm_bin.75	Xanthomonadaceae.3		0.0000	0.0000	0.0000	0.0000	0.0000
K00370	coasm_bin.82	Micavibrionaceae.3_m	UBA1573	0.2772	0.3653	0.2191	0.0000	0.0000
K00370	coasm_bin.84	Chlorobium.1_m	Chlorobium	0.0000	0.0000	0.0000	0.0000	0.0000
K00370	coasm_bin.85	Aquimonas.3_m	Aquimonas	0.0000	0.0000	0.0000	0.0000	0.0000
K00370	coasm_bin.86	Lacipirellulaceae.1_m	GCA-2702655	0.0000	0.0000	0.0000	0.0000	0.0000
K00370	coasm_bin.88	Defluviicoccus.2_m	Defluviicoccus	0.0000	0.0000	0.0000	0.0000	0.0000
K00370	coasm_bin.92	Anaerolineaceae.2_m	Ch132	0.0000	0.0000	0.0000	0.0000	0.0000
K00370	coasm_bin.93	Micropepsaceae.1	JADZAI01	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_1_bin.148	Dokdonella.1_m	Dokdonella	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_1_bin.174	Gracilibacteria.30	UBA5532	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_1_bin.177	Pararhodobacter.1_m	Pararhodobacter	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_1_bin.180	Bdellovibrio.13	UBA2316	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_1_bin.195	Ca_Falkowbacteria.7	UBA919	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_1_bin.2	Ignavibacteria.5		0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_1_bin.210	Dokdonella.2_m	Dokdonella	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_1_bin.48	Paceibacteria.1_m		0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_1_bin.5	Micavibrionaceae.1_m	UBA1573	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_1_bin.77	Thermoanaerobaculia.1_m	UBA5066	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_1_bin.84	Phototrophicaceae.1_m	CFX2	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_1_bin.98	Accumulibacter.1_m	Accumulibacter	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_2_bin.125	Pseudoxanthomonas_A.1_m	Pseudoxanthomonas_A	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_2_bin.151	Brevundimonas.1_m	Brevundimonas	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_2_bin.159	Pseudoxanthomonas.1_m	Pseudoxanthomonas	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_2_bin.173	Burkholderiaceae.1_m	JACDQM01	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_2_bin.176	Thermoanaerobaculia.2_m	UBA5066	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_2_bin.23	Zoogloea.1_m	Zoogloea	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_2_bin.6	Desulfobacillus.1_m	Desulfobacillus	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_2_bin.66	Chthoniobacterales.1_m	JACTMZ01	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_3_bin.10	Rhodobacter.13	JAAKGP01	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_3_bin.124	Thermomonas.1_m	Thermomonas	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_3_bin.13	Pseudoxanthomonas_A.2_m	Pseudoxanthomonas_A	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_3_bin.203	Ancalomicrobiaceae.1_m	JAEULV01	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_3_bin.205	Niabella.1_m	Niabella	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_3_bin.208	Azospira_A.1_m	Azospira_A	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_3_bin.216	Zoogloea.2_m	Zoogloea	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_3_bin.221	Ignavibacteria.31	OLB5	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_3_bin.227	Kapaibacterium.1_m	Kapaibacterium	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_3_bin.43	Luteimonas_D.1_m	Luteimonas_D	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_4_bin.103	Aggregatilineales.1_m	UBA2796	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_4_bin.107	Caldilinea.1_m	Caldilinea	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_4_bin.11	Villigracilis.1_m	Villigracilis	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_4_bin.112	Bacteroidia.1_m	2-12-FULL-35-15	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_4_bin.116	Competibacter.1_m	Competibacter	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_4_bin.142	Vicingus.1_m	Vicingus	0.2483	0.4207	0.1923	0.6969	0.0000
K00371	CAN_4_bin.152	Brevundimonas.2_m	Brevundimonas	0.0000	0.0000	0.0313	0.5227	0.0000
K00371	CAN_4_bin.154	Aquimonas.1_m	Aquimonas	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_4_bin.166	Ignavibacterium.4	UTCHB3	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_4_bin.195	Azonexus.1_m	Azonexus	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_4_bin.197	Ignavibacteria.13	CAIKZJ01	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_4_bin.208	Azospira_A.2_m	Azospira_A	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_4_bin.220	Bosea.1	JAIUNP01	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_4_bin.225	Accumulibacter.2_m	Accumulibacter	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_4_bin.236	Thauera.1_m	Thauera	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_4_bin.238	Phaeodactylibacter.3	UBA2329	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_4_bin.25	Competibacter_A.1_m	Competibacter_A	1.3303	0.8765	1.1267	10.6163	6.4760
K00371	CAN_4_bin.35	Brevundimonas.3_m	Brevundimonas	0.4894	0.0000	0.1474	2.9582	0.1855
K00371	CAN_4_bin.38	Salinispiraceae.1_m		0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_4_bin.44	Mesorhizobium.22	DUSC01	0.2137	0.1408	0.0966	1.8571	1.7620
K00371	CAN_4_bin.62	Anaerolineaceae.1_m	JARKPB01	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_4_bin.64	Accumulibacter.3_m	Accumulibacter	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_4_bin.70	Phototrophicaceae.2_m	JAIOHN01	1.9357	0.6377	3.0604	6.9467	2.2010
K00371	CAN_4_bin.72	Competibacter_A.2_m	Competibacter_A	18.0989	24.4865	23.0839	5.1622	3.5962
K00371	CAN_4_bin.76	Dojkabacteria.1_m	Brojett037	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_4_bin.92	Flexifilum.1_m	Flexifilum	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_5_bin.1	Rhabdaerophilum.1_m	Rhabdaerophilum	0.2834	0.4356	0.4693	0.4638	1.5841
K00371	CAN_5_bin.100	Ignavibacteriaceae.1_m	JAEXTR01	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_5_bin.106	Competibacter.2_m	Competibacter	1158.9620	1141.4994	1154.4884	504.3676	221.4861
K00371	CAN_5_bin.112	Terrimonas.22	JJ008	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_5_bin.145	Bacteroidia.19	JAAFHL01	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_5_bin.146	Altimarinus.1_m	Altimarinus	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_5_bin.147	Terrimonas.3	SpSt-398	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_5_bin.149	Flavipsychrobacter.1_m	Flavipsychrobacter	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_5_bin.150	Paceibacteria.2_m	JAHFLJ01	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_5_bin.167	Ignavibacteria.21	OLB5	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_5_bin.169	Spirochaetota.1_m		0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_5_bin.173	Bacteroidia.11	JAKRSD01	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_5_bin.177	Lysobacter.2	SCMT01	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_5_bin.180	Anaerolineaceae.24	UBA6170	0.1713	0.2257	0.0774	0.9057	0.2921
K00371	CAN_5_bin.2	Rhodospirillales.3		0.0000	0.6677	0.0000	0.1914	17.2842
K00371	CAN_5_bin.40	Giesbergeria.1_m	Giesbergeria	6.4435	11.8421	13.2510	1.9216	0.5784
K00371	CAN_5_bin.52	Beijerinckiaceae.1_m		0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_5_bin.62	Caldilinea.2_m	Caldilinea	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_5_bin.70	Azonexus.2_m	Azonexus	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_5_bin.9	Villigracilaceae.1_m	UBA5195	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_5_bin.90	Gracilibacteria.25	UBA5532	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	CAN_5_bin.97	Azospira.1	UBA1934	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.10	Leptovillus.1_m	Leptovillus	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.103	Phototrophicaceae.3_m	JALHNB01	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.105	Rhodobacter.5	JAAKGP01	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.108	Tabrizicola.1_m	Tabrizicola	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.110	Leptonema.1_m	Leptonema	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.112	Microgenomatia.1_m	UBA927	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.114	Sphingobacteriales.16	UBA2475	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.115	Phototrophicaceae.4_m	GCA-2794515	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.117	Chitinophagaceae.1_m	JAFLBI01	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.118	Beijerinckiaceae.2_m	GCA-013693735	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.121	Sphingobacteriales.13	UBA2475	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.125	Flavobacterium.1_m	Flavobacterium	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.13	Bryobacter.14	JACTMJ01	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.131	Azoarcus_F.1_m	Azoarcus_F	3.6234	3.6895	5.3567	1.4310	0.1405
K00371	coasm_bin.132	Cyclobacteriaceae.1_m	ELB16-189	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.133	Kaistella.1_m	Kaistella	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.134	Lysobacter_B.1_m	Lysobacter_B	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.135	Flavipsychrobacter.2_m	Flavipsychrobacter	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.138	Hyphomicrobiaceae.1_m	JABFRJ01	1.5112	5.9739	1.3653	3.9961	1.2887
K00371	coasm_bin.139	Planctomycetota.15	UBA2386	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.142	Sphingobacteriales.30	OLB10	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.147	Holophaga.1_m	Holophaga	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.15	Sulfuritalea.1_m	Sulfuritalea	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.150	Ignavibacterium.5	JAGUXE01	0.0000	0.0000	0.0000	0.0000	0.0000
