root_iterativeID	n_MAGs	genus	K00023	K00362	K00363	K00368	K00370	K00371	K00374	K00376	K00626	K00634	K00688	K00700	K00702	K00703	K00925	K00937	K01214	K01514	K01659	K01720	K01847	K01848	K01895	K01908	K02035	K02036	K02037	K02038	K02039	K02040	K02305	K02567	K02568	K03385	K03821	K04561	K05973	K07636	K07657	K15864	K15876	K22468
Pseudoxanthomonas	1	Pseudoxanthomonas	17.1553	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6.2383	12.3694	14.5725	8.4010	22.6016	0.0000	0.0000	0.0000	0.0000	0.0000	11.2313	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Rhodobacteraceae	3	Neotabrizicola	1.8957	0.1003	0.0000	0.1352	1.1785	0.4098	0.5975	1.5336	7.3265	2.6346	0.8795	0.9194	0.0000	1.3711	1.6211	0.8224	0.7771	0.0000	0.0000	0.0000	1.0723	0.0000	7.4674	1.1702	24.9863	1.9650	1.8768	1.6989	2.6415	3.1286	1.9394	0.0000	0.0000	0.0000	5.1440	1.0128	1.4568	1.6406	1.3184	2.1444	0.0000	6.8618
UBA5532_m	2	UBA5532	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	87.1975
midas_g_8672	1	OLB9	0.0000	0.0000	0.0000	1.9043	3.4135	0.7758	1.9898	1.2918	1.6557	0.0000	4.9995	7.3160	0.0000	6.3376	0.0000	3.4996	0.0000	0.0000	0.0000	0.0000	3.7577	0.0000	0.9861	0.0000	11.6784	3.6796	2.4584	2.5728	6.6372	6.2937	1.9459	0.0000	0.0000	0.0000	0.0000	3.0487	0.0000	6.9847	0.0000	0.0000	0.0000	0.0000
BA12_m	2	BA12	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.1545	3.6952	0.0000	5.0085	8.3529	0.0000	2.4877	0.0000	4.5225	6.0068	0.0000	0.1303	0.0000	4.7017	0.0000	7.3780	0.0000	0.0000	5.5586	2.6659	1.9230	5.6502	10.1531	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.7784	4.0641	0.0000	0.0000	5.9285
JAEXTR01_m	1	JAEXTR01	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.6159	4.7099	0.0000	4.5090	2.8040	0.6901	1.7882	0.0000	3.0196	0.0000	0.0000	0.0000	0.0000	0.0000	3.6950	3.1417	0.0000	0.0000	2.2232	5.3092	2.9647	2.5141	4.5443	0.0000	0.0000	0.0000	11.1219	0.0000	0.0000	0.0000	22.0437	0.0000	0.0000	0.0000	0.0000
Hydrogenophaga_m	3	Hydrogenophaga	2.2730	3.3958	3.2258	0.0000	2.1925	1.9199	0.9869	0.4860	11.4183	0.0000	0.9566	1.3795	0.0000	1.1987	0.0000	4.5375	1.1175	0.0000	0.0000	0.0000	3.2952	0.0000	5.9268	1.1878	2.8290	2.3665	1.8503	2.1777	2.8137	1.6777	1.3375	0.0000	0.0000	0.0000	2.2763	2.4139	2.4302	1.8871	2.9703	2.9064	0.0000	3.0485
CAIKZJ01_m	1	CAIKZJ01	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.8730	3.1576	0.0000	1.3397	1.1995	0.0000	8.2648	1.2096	3.1085	0.0000	0.0000	0.0000	0.0000	2.4619	1.1562	9.7682	0.0000	1.7885	3.3305	0.9472	1.0420	1.4171	2.8771	0.0000	0.0000	0.0000	19.6020	0.0000	1.2388	0.0000	2.6119	4.2546	0.0000	4.3762	0.0000
Ignavibacterium	3	UTCHB3	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.1192	3.5986	0.0000	3.6959	2.4545	0.4130	8.2322	3.3827	3.6506	2.4294	0.0000	0.0000	1.1192	6.4749	2.6265	6.0676	0.0000	1.1397	1.6842	1.7169	1.7056	2.3211	3.7312	0.0000	0.0000	0.0000	4.2940	0.0000	0.0000	0.0000	3.2714	0.0000	0.0000	6.1863	0.4597
Defluviicoccus_m	2	Defluviicoccus	1.9431	0.5616	0.0000	0.0000	0.0000	0.0000	0.0000	0.5453	1.6166	1.3040	1.0384	6.7699	0.0000	1.2369	1.3494	1.5770	2.4295	0.0000	0.0000	0.0000	3.0790	0.0000	10.6215	2.0652	2.2028	2.6513	4.2534	2.4220	1.7407	7.5744	0.5430	0.0000	0.0000	0.0000	3.8010	0.6022	1.7912	2.2821	3.5135	2.3986	0.0000	0.0000
