root_iterativeID	n_MAGs	genus	K00023	K00362	K00363	K00368	K00370	K00371	K00374	K00376	K00626	K00634	K00688	K00700	K00702	K00703	K00925	K00937	K01214	K01514	K01659	K01720	K01847	K01848	K01895	K01908	K02035	K02036	K02037	K02038	K02039	K02040	K02305	K02567	K02568	K03385	K03821	K04561	K05973	K07636	K07657	K15864	K15876	K22468
GCA-2794515_m	2	GCA-2794515	0.0000	0.0000	0.0000	1.8071	0.0000	0.0000	0.0000	0.0000	2.3401	0.0000	0.7190	0.3213	0.0000	1.1094	0.0000	0.5904	0.3694	0.0000	0.0000	0.0000	0.8371	1.6098	0.5761	0.0000	10.3249	1.8021	0.7187	1.9954	0.0000	1.7034	0.0000	0.0000	0.0000	1.2576	0.0000	0.0000	0.0000	0.6767	1.5915	0.0000	1.2702	0.0000
Sulfuritalea_m	1	Sulfuritalea	4.1879	0.3057	1.3228	0.0000	0.0000	0.0000	0.0000	0.3507	8.7294	0.0000	1.3816	1.1659	0.0000	0.5585	0.8299	0.6436	0.0000	0.0000	0.0000	0.0000	0.7378	0.7461	0.7076	0.2277	0.0000	0.7185	0.6148	0.6092	0.5476	0.5282	0.0000	0.3407	1.1062	0.0000	1.2466	0.0000	0.0000	0.6956	0.9827	0.8007	0.0000	1.3353
JAIUNP01_m	1	JAIUNP01	1.8201	0.3355	1.0703	0.0000	0.0000	0.0000	0.0000	1.3340	2.3031	0.9403	0.1996	0.4486	0.0000	0.0000	0.2234	0.2911	0.0000	0.0000	0.0000	0.0000	0.9223	0.0000	1.4129	0.3407	3.9827	0.5116	0.3544	0.4007	0.5414	0.7622	0.4442	0.1445	0.6498	0.0000	0.6182	8.9668	0.7490	0.3904	0.5854	0.2109	0.0000	0.3764
alphaI_cluster	1	GCA-013693735	1.3079	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.0887	0.0000	0.3251	0.3867	0.0000	0.7996	0.0000	0.2839	0.0000	0.0000	0.0000	0.0000	0.9403	0.0000	1.7897	0.5129	11.2202	0.3811	0.6582	0.6663	0.4953	1.3501	0.5900	0.7606	0.2460	0.0000	0.3440	0.4166	1.1622	0.6866	0.3933	0.4583	0.0000	1.7119
Bryobacter	3	JACTMJ01	1.1543	0.0000	0.9412	0.3403	1.4435	0.6265	1.8926	0.0000	0.0000	0.0000	1.0636	1.4195	0.0000	2.9197	1.2974	1.3629	1.9144	0.0000	0.0000	0.0000	2.6079	0.0000	1.7478	0.0000	1.1678	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.1662	0.0000	2.1527	0.0000	1.3459	1.7843	0.0000	1.4678	0.0000
Luteimonas	3	Luteimonas_D	5.0434	0.0000	0.0000	0.6359	0.0000	0.0000	0.0000	0.0000	2.6754	0.5013	0.0000	0.0000	0.0000	0.0000	2.0285	0.8165	0.0000	0.0000	1.0435	0.0000	0.0000	0.0000	0.5771	0.2194	0.0000	2.2436	1.3108	1.3429	1.6533	2.5816	0.0000	0.0000	0.0000	0.0000	1.8211	0.5949	2.2998	0.5894	2.0095	0.1146	0.0000	0.6073
Cephaloticoccus	1	UBA2377	0.0000	0.0000	0.0000	2.1722	0.0000	0.0000	0.0000	0.0000	0.9294	0.0000	0.6499	1.6607	0.0000	1.1927	0.9938	0.0000	0.0000	0.0000	0.9633	0.9874	1.3416	0.0000	2.3393	0.0000	2.5000	0.8113	0.9152	0.6508	1.1180	0.5848	0.0000	0.0000	0.0000	2.3158	0.0000	0.0000	0.0000	0.0000	2.2732	0.0000	3.4711	2.5250
Cloacibacterium	1	Kaistella	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.2384	0.0000	0.0000	1.0818	0.0000	0.5968	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.0108	0.0000	1.2637	1.1051	0.0000	0.0000	0.0000	0.0000	0.0000	18.0210	0.1028	0.0000	0.0000	0.0000	0.0000	0.1604	0.0000	1.5608	0.0000	0.0000	0.0000	0.0000
Aquimonas_m	3	Aquimonas	2.8719	0.0000	0.0000	0.0000	0.9802	0.7736	0.2823	0.0000	2.0594	0.0000	0.0000	0.0000	0.0000	0.1833	0.0000	0.9503	0.7414	0.0000	0.9547	0.0000	0.0000	0.0000	2.2987	1.7153	0.0000	0.9139	1.0332	1.0709	1.7775	2.4376	0.0000	0.0000	0.0000	0.0000	1.0020	0.7827	1.6624	1.8734	1.5383	1.0721	0.0000	0.5627
UBA2400_m	1		3.9937	0.0000	0.0000	0.0000	3.2087	5.2388	2.8863	0.0000	2.4332	0.0000	0.0000	0.0000	0.0000	0.0000	2.5995	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.3220	0.0000	5.2419	0.0000	0.0000	0.0000	0.0000	0.0000
SHZI01_m	2	SHZI01	0.0000	0.0000	0.0000	0.0000	0.6356	1.2853	0.0000	0.6831	2.1191	0.3713	0.7827	1.1498	0.0000	0.6386	0.4583	1.7695	0.5022	0.0000	0.0000	0.0000	0.6671	0.0000	0.9332	0.0000	0.0000	0.0000	0.0536	1.0198	0.0000	1.7019	1.1887	0.0000	0.0000	0.0000	0.6803	5.1946	0.0000	0.7241	2.0995	1.6973	0.0000	2.2076
JADKFD01_m	1	JADKFD01	2.7052	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.2389	0.9106	1.5227	0.0000	0.0000	1.3257	0.7660	0.3866	1.3942	0.0000	0.9567	0.0000	0.0000	0.0000	1.0111	0.0000	0.0000	0.8767	1.4981	1.2336	0.4014	1.1722	0.0000	0.6913	2.1152	0.0000	1.0596	0.7182	1.4598	1.4478	0.8185	0.5490	0.0000	0.6034
UBA2287_m	1	UBA2287	0.0000	0.0000	0.0000	0.9780	0.0000	0.0000	0.0000	0.0000	1.6378	2.6066	0.9343	0.0000	0.0000	1.2412	2.3273	1.1922	0.0000	0.0000	0.0000	0.0000	1.3003	0.0000	0.0000	0.0000	1.8300	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.4817	0.0000	0.0000	0.0000	9.4830	0.0000	0.0000	0.7451	1.2176
Novosphingobium	1	Novosphingobium	0.3589	0.0000	0.0000	0.0000	0.2208	0.4268	0.7802	0.0000	6.6212	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.8389	0.0000	0.4307	1.0956	0.7802	0.6359	3.4682	0.4326	0.2858	0.6741	0.0000	0.0000	0.0000	0.0000	3.3004	0.0000	0.6972	0.5441	0.6365	0.0000	0.0000	3.4688
JAIOHN01_m	1	JAIOHN01	0.7286	0.0000	0.0000	0.8372	0.0000	3.1728	0.0000	0.0000	0.5074	0.2399	1.1392	0.3218	0.0000	0.4787	0.0000	0.4450	0.0000	0.0000	0.0000	0.0000	0.0000	1.2330	0.7703	0.0000	10.7403	0.1457	0.2130	0.3486	0.0000	1.5603	0.0000	0.0000	0.0000	1.2427	0.0000	0.0000	0.0000	0.6932	0.5610	0.4073	0.3598	0.0000
midas_g_1409	1	M3007	0.8788	0.0000	0.0000	1.3383	0.0000	0.0000	0.0000	2.8605	1.4175	0.0000	0.9325	1.1099	0.0000	3.0988	0.4435	1.3511	0.0000	0.0000	0.0000	0.0000	2.1539	0.0000	0.7346	0.0000	0.9521	0.0000	0.0000	0.0000	0.0000	0.9563	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6.9710	0.0000	0.0000	0.0000	0.0000
UBA9002_m	1	UBA9002	0.0000	0.0000	0.0000	0.4517	0.0000	0.0000	0.0000	0.0000	1.5567	0.0000	1.1719	1.3010	0.0000	1.8283	0.0000	1.3467	0.0000	0.0000	0.0000	0.0000	1.9569	2.8708	0.4243	0.0000	2.2172	1.3633	0.2390	0.5099	0.6849	1.5684	0.0000	0.0000	0.0000	1.6540	0.0000	0.0000	0.0000	1.1604	0.8786	0.0000	0.5111	0.8537
UBA5195_m	1	UBA5195	0.0000	1.1709	0.8185	0.4641	0.0000	0.0000	0.0000	0.0000	2.8337	0.0000	0.6545	0.0000	0.5974	0.2779	0.0000	0.2051	0.2244	0.0000	0.0000	0.0000	0.1971	0.3552	1.6735	0.0000	3.4890	1.6337	1.3422	1.5225	2.1366	1.7504	0.0000	0.0000	0.0000	0.6181	0.0000	0.0000	0.0000	0.7381	1.4046	0.0000	0.2400	0.0000
JAAFHL01_m	1	JAAFHL01	0.0000	0.0000	0.0000	5.1741	0.0000	0.0000	0.0000	1.7187	1.1991	0.0000	1.1245	1.0602	0.0000	0.5449	0.0000	1.3741	0.0000	0.0000	0.0000	0.0000	3.0222	0.0000	4.0462	0.0000	1.6526	0.0000	0.0000	0.0000	0.0000	1.1375	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.1203	0.0000	0.0000	0.0000	0.0000
UBA2475_m	3	UBA2475	1.8871	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.2691	2.6958	0.0000	0.0000	0.0000	0.0000	1.6380	0.0000	0.6633	0.0000	0.0000	0.0000	0.0000	2.3473	0.0000	0.8171	1.2930	2.6140	0.0000	0.0000	0.0000	0.0000	0.9205	1.1311	0.0000	0.0000	0.0000	1.9672	0.6978	0.0000	3.8394	0.0000	0.0000	0.0000	0.0000
JARKPB01_m	1	JARKPB01	0.0000	0.0000	1.5420	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.5440	1.5440	0.0000	0.0000	2.3919	4.9516	2.3658	2.5416	0.0000	1.0997	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.8626
Pseudorhodobacter	1	JAAKGP01	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.5042	0.0000	0.9325	1.3630	0.0000	0.2700	0.5037	0.6704	0.6257	0.0000	0.0000	0.0000	0.7332	0.0000	1.0635	0.5403	4.4816	1.3299	1.2515	0.2183	0.7721	2.2032	0.0000	0.0000	0.0000	0.0000	0.6275	0.0000	0.1928	0.7147	0.4538	0.0000	0.0000	1.2068
midas_g_4351	1	JADZAI01	0.7462	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6.2376	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5671	0.0000	0.0000	0.0000	0.0000	2.1145	0.0000	0.4933	0.0000	3.2753	0.9433	0.3381	0.7515	0.9997	0.6090	0.0000	0.0000	0.0000	0.0000	2.3185	0.0000	0.7925	0.7073	1.0472	0.0000	0.0000	0.3629
Niabella	1	Niabella	1.2333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.6436	0.7525	0.0000	1.8866	1.0906	0.0000	1.1401	0.6346	5.9600	0.0000	0.0000	0.0000	0.0000	0.0000	0.4161	2.4135	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.1833	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.2946	0.0000	0.0000	0.0000	1.0737
Gemmatimonas	1	JAABRT01	0.0000	0.0000	0.4135	0.1931	0.0000	0.0000	0.0000	0.1318	0.1971	0.0000	0.2147	0.0872	0.0000	0.2151	0.1586	0.1081	0.0000	0.0000	0.0000	0.0000	0.0000	0.3806	0.1104	0.0000	0.6500	0.2796	0.1827	0.1473	0.4837	0.3776	16.1129	0.0000	0.0000	0.0000	0.0000	0.1182	0.0000	0.1426	0.1810	0.0000	0.0000	0.4287
2-12-FULL-35-15_m	2	2-12-FULL-35-15	0.9176	0.0000	0.0000	0.8667	0.0000	0.0000	0.0000	4.5589	0.7554	0.0000	0.0000	0.0000	0.0000	1.2286	0.0000	1.1259	0.0000	0.0000	0.0000	0.0000	0.0000	0.8045	0.8347	0.0000	1.7782	0.3540	0.3436	0.4616	0.3368	0.7790	1.4545	0.0000	0.0000	0.0000	0.0000	1.7127	0.0000	2.5649	0.0000	0.0000	0.0000	0.0000
JADZAI01_m	1	JADZAI01	0.6095	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.4092	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4174	0.0000	0.0000	0.0000	0.0000	0.7271	0.0000	0.5388	0.0000	2.7752	0.6206	0.4890	1.5020	0.9127	1.2894	0.0000	0.0000	0.0000	0.0000	1.1575	0.6419	0.5676	1.7184	1.4297	0.0000	0.0000	0.0000
GCA-013693735_m	1	GCA-013693735	0.2810	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.1324	0.0000	0.2980	1.5122	0.0000	0.3059	0.0000	0.2259	0.0000	0.0000	0.0000	0.0000	0.8215	0.0000	1.3103	0.8363	6.0082	0.5835	0.3730	0.4123	0.5981	0.3822	0.0000	0.5679	0.7139	0.0000	0.1253	0.0000	0.6424	0.2698	0.4507	0.0000	0.0000	0.4990
JACKCG01_m	1	JACKCG01	0.0000	0.0000	0.0000	0.1603	0.0000	0.0000	0.0000	0.9364	2.2276	0.0000	0.8045	0.3242	0.0000	0.1752	0.0000	0.2542	0.0000	0.0000	0.0000	0.0000	0.1950	0.4531	0.2846	0.0000	6.5939	0.3305	0.4354	0.8783	0.0000	0.9624	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.1289	3.2733	0.0000	0.3437	0.5669
Holophagaceae	1	Holophaga	0.0000	0.4502	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.7362	0.7502	0.8533	0.5842	0.0000	0.6737	0.3314	0.5491	0.0000	0.0000	0.0000	0.0000	0.6132	0.0000	0.2558	0.0000	1.0494	0.8045	0.4211	1.1452	1.4267	1.5065	0.0000	0.0000	0.0000	0.4096	0.0000	1.4351	0.0000	2.7519	0.0000	0.0000	1.9950	0.3095
JALNZU01_m	1	JALNZU01	0.0000	0.0000	0.0000	1.6037	0.0000	0.0000	0.0000	0.0000	0.9394	0.8806	0.4157	0.8158	0.6097	0.6235	0.6382	0.5298	0.0000	0.0000	0.0000	0.0000	1.8298	0.0000	0.4461	0.0000	1.6993	0.0000	0.0000	0.0000	0.0000	0.5723	0.9228	0.0000	0.0000	1.0322	0.0000	1.5344	0.0000	3.3979	0.0000	0.0000	0.9991	0.4517
Luteimonas_D_m	1	Luteimonas_D	1.7002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.2655	0.0000	0.0000	0.0000	0.0000	0.0000	6.6474	0.3583	0.0000	0.0000	0.6548	0.0000	0.0000	0.0000	1.9085	0.4892	0.0000	0.5570	0.3022	0.0000	0.6470	1.2127	0.0000	0.0000	0.0000	0.0000	0.5476	0.0000	0.2992	0.4479	0.5352	0.0000	0.0000	0.0000
midas_g_6489	1	UBA6170	0.0000	2.4179	0.6523	0.1795	0.1971	0.3599	0.7870	0.0000	1.6739	0.0000	0.1508	0.0000	0.0000	1.8926	0.0000	0.2760	0.0000	0.0000	0.0000	0.0000	0.1212	0.1212	0.0000	0.0000	2.0297	1.1686	0.4131	0.8360	0.2277	0.4117	0.0000	0.0000	0.0000	0.1997	0.0000	0.0000	0.0000	0.1714	0.5111	2.0990	0.8226	0.5719
Paracoccus	1	Paracoccus	0.4293	0.1786	0.5037	0.0000	0.0000	0.0000	0.0000	0.0000	4.8687	0.5749	0.1989	1.7638	0.0000	0.2287	0.6064	0.0000	0.2105	0.0000	0.4301	0.6389	0.5792	0.0000	1.6164	0.2639	0.8972	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8381	0.0000	1.4829	0.7490	0.0000	0.0000	0.0000	1.0682
Pseudofulvimonas_m	2	Pseudofulvimonas	1.4453	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0680	0.4470	0.0000	0.0000	0.3444	0.0000	0.3752	0.4644	0.0000	0.0000	0.6159	0.2745	0.0000	0.0000	0.8707	0.0000	0.0000	0.9291	0.4914	0.5918	0.6306	2.5978	0.0000	0.4456	0.6896	0.0000	0.7279	0.5753	0.8766	1.5202	0.7378	0.5792	0.0000	0.0000
Casimicrobium_m	1	Casimicrobium	0.4079	0.2199	1.2295	0.0000	0.3858	0.2291	0.5061	0.0000	2.9553	0.3250	0.0000	0.0000	0.0000	0.0000	0.0000	0.9287	0.0000	0.0000	0.3753	0.0000	0.0000	0.0000	2.3933	0.2687	1.1196	0.7793	0.3696	0.6237	0.3794	0.6459	0.0000	0.0000	0.0000	0.0000	0.3342	0.0000	0.6952	0.4681	0.2219	0.2154	0.0000	0.7024
Thermomonas	2	Thermomonas	0.7676	0.0000	0.0000	0.3117	0.0000	0.0000	1.1585	0.0000	2.6136	0.0000	0.0000	0.0000	0.0000	0.0000	0.2257	0.3652	0.0000	0.0000	0.5274	0.2819	0.0000	0.0000	0.5012	0.1266	0.0000	0.8247	1.3176	0.9955	1.0534	1.7478	0.0000	0.0000	0.0000	0.0000	0.7928	0.5089	0.6253	0.4729	0.8355	0.1042	0.0000	0.4137
Terrimicrobium	1	QYQL01	0.0000	0.0000	0.0000	0.3605	0.0000	0.0000	0.0000	1.0757	2.1809	0.0000	0.3525	0.0000	0.0000	1.6862	0.3382	0.7577	0.2127	0.0000	0.0000	0.0000	1.2068	0.0000	1.3217	0.0000	0.4039	0.6508	0.2654	0.3804	0.6669	2.5168	0.0000	0.2219	0.0000	0.0000	0.0000	0.0000	0.0000	1.1561	0.7007	0.0000	0.0000	0.0000
JABFRJ01_m	1	JABFRJ01	0.4055	0.0947	0.4369	0.0000	1.9452	2.5406	0.8312	0.0000	2.9584	0.2378	0.0000	0.0000	0.0000	0.0000	0.0302	0.1824	0.0000	0.0000	0.0000	0.0000	0.1286	0.0000	0.2314	0.0466	2.2373	0.3448	0.5028	0.1984	0.1658	0.4805	0.0000	0.6758	0.5106	0.0000	0.1541	0.0000	0.0000	0.1609	0.1997	0.0000	0.0000	0.3033
Anaerolinea	1	Anaerolinea	0.0000	0.0000	0.4827	0.1569	0.0000	0.0000	0.0000	0.0000	2.2614	0.0000	0.1714	0.0000	0.1682	0.6719	0.0000	0.3206	0.1267	0.0000	0.6995	0.5720	0.2106	0.2106	0.1594	0.0000	2.8847	1.2773	0.9612	0.7906	0.7689	0.9739	0.0000	0.0000	0.0000	0.2374	0.0000	0.0000	0.0000	0.0000	0.0000	0.4189	1.1808	0.2965
UBA2336_m	1	UBA2336	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0768	0.6555	0.0000	2.1873	0.6943	0.0000	0.8003	0.0000	0.6940	0.0000	0.0000	0.0000	0.0000	5.3098	0.0000	0.3547	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.5572	0.0000	0.0000	0.0000	0.0000
Edaphobaculum	3	Flavipsychrobacter	1.0306	0.0000	0.0000	0.2272	0.0000	0.0000	0.0000	0.1399	1.9144	0.0000	0.0000	0.1374	0.0000	0.7998	0.0000	0.6062	0.3345	0.0000	0.0000	0.0000	0.0000	0.4619	1.8644	0.2865	0.2565	0.2596	0.1828	0.2532	0.2896	1.5116	1.2539	0.0000	0.0000	0.0000	0.5562	1.0115	0.0000	1.5288	0.0000	0.0000	0.0000	0.0000
UBA8950_m	1	UBA8950	0.0000	0.2802	0.6582	1.5947	0.3351	0.0000	0.3351	0.0000	1.3264	0.0000	0.0000	0.0000	0.3098	0.2199	0.0000	0.1440	0.4470	0.0000	0.0000	0.0000	0.1577	0.3128	0.3017	0.0000	1.2767	1.0788	0.3524	1.2652	0.5126	0.3165	0.0000	0.0000	0.0000	0.3713	0.0000	0.0000	0.0000	0.7328	0.0000	2.1157	0.1627	0.0000
UBA2392_m	1	UBA2392	0.0000	0.0000	1.4945	0.0000	0.3047	0.5949	0.9013	0.0000	1.6189	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3419	0.0000	0.0000	0.0000	0.0000	0.0000	0.7477	0.7389	0.0000	1.0100	0.4510	0.0000	0.3439	0.6070	0.6107	0.0000	0.0000	0.0000	0.7622	0.0000	0.3421	0.0000	0.0000	1.3107	0.4676	1.0990	0.7977
UBA5072_m	1	UBA5072	0.3803	0.0000	0.0000	0.8216	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2361	0.5247	0.2672	0.4055	0.2688	0.5963	0.0000	0.0000	0.2729	0.0000	0.4057	0.0000	0.3402	0.0000	0.0000	0.6868	0.7276	0.8624	0.4344	2.0018	0.0000	0.0000	0.0000	0.0000	0.0000	0.1648	0.0000	1.9136	0.9729	0.0000	0.3780	1.8127
UBA5200_m	1	UBA5200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.4633	0.5052	0.2996	0.0000	0.0000	0.3464	1.7917	0.3515	0.4383	0.0000	0.0000	0.0000	0.7569	0.7569	0.0000	0.0000	4.3670	0.4810	0.4861	0.4679	0.2603	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.3200	0.3768	0.0000	0.0000	0.0000
Holophaga_m	1	Holophaga	0.0000	0.1320	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6651	0.3117	0.4647	1.1348	0.0000	1.4547	0.4053	0.0000	0.2110	0.0000	0.0000	0.0000	0.3355	0.0000	0.5007	0.2989	0.2096	1.4259	0.4165	1.3351	1.3225	1.3172	0.0000	0.0000	0.0000	0.1879	0.0000	0.2094	0.0000	0.4687	0.3697	0.0000	0.9847	0.0000
Shinella	1	Mesorhizobium_G	0.2576	0.0000	0.0000	0.1596	0.0000	0.0000	0.0000	0.0000	2.8747	0.3759	0.3103	0.1887	0.0000	0.2955	0.2292	1.6805	0.0000	0.0000	0.0000	0.0000	0.2661	0.0000	0.7306	0.9759	2.6327	0.1580	0.4619	0.1155	0.3062	0.4327	0.0000	0.0000	0.0000	0.0000	0.8898	0.0000	0.0000	0.0525	0.1574	0.0000	0.0000	0.4118
Flavobacterium_m	1	Flavobacterium	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.0840	0.0000	0.0000	0.0000	0.8927	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.2244	2.6114	0.0000	0.0000	0.0000	0.0000	0.0000	2.1382	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9560	0.0000	0.0000	0.0000	0.0000
PGYR01_m	1	PGYR01	0.3513	0.0000	0.0000	1.0486	0.0000	0.0000	0.0000	0.4279	0.6006	0.0000	0.0000	0.0000	0.0000	1.7363	0.0000	1.1037	0.0000	0.0000	0.0000	0.0000	0.9214	0.0000	0.8351	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.4525	0.6962	0.0000	0.0000	0.0000	0.0000	0.3565	0.0000	0.3058	1.1821	0.0000	0.0000	1.4995
ELB16-189_m	1	ELB16-189	0.0000	0.0000	0.0000	2.1912	0.0000	0.0000	0.0000	0.9142	1.9048	0.0000	1.1018	0.5470	0.0000	0.5949	0.0000	0.5997	0.0000	0.0000	0.0000	0.0000	2.2409	0.0000	0.7045	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.5184	0.0000	0.0000	0.0000	0.0000
Defluviimonas	1	Albidovulum	0.5086	0.1338	0.5871	0.0000	0.0000	0.0000	0.0000	0.1631	1.7845	0.1905	0.1128	0.0000	0.0000	0.1969	0.0000	0.2507	0.2154	0.0000	0.0000	0.0000	0.1428	0.0000	0.4348	0.1604	2.7212	0.2178	0.1189	0.1445	0.3938	0.2947	0.5275	0.0000	0.0000	0.0000	1.5587	0.2546	0.0515	0.2896	0.5081	0.2463	0.0000	0.9380
JAEUKH01_m	1	JAEUKH01	0.0000	0.0000	0.1693	0.2015	0.2692	0.0000	0.0000	0.0000	0.9856	0.0000	0.3082	0.3610	0.0000	0.1378	0.1746	0.0000	0.1020	0.0000	0.0000	0.0000	0.0000	0.1857	1.6643	0.0000	0.1101	0.1857	0.0000	0.0554	0.2089	0.1149	0.3030	4.7779	0.2299	0.7668	0.4622	0.1560	0.0000	0.5021	0.0000	0.0000	0.2947	0.2844
IGN3_m	1	IGN3	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.1709	0.3132	0.0000	0.1487	0.1846	0.3218	1.7602	0.1455	0.1525	0.1769	0.0000	0.0000	0.1989	0.4205	0.2230	1.5348	0.0000	0.0902	0.0000	0.0000	0.0000	0.6731	0.9343	0.0000	0.0000	0.0000	0.3214	0.0000	0.0000	0.0000	1.8189	0.0000	0.0000	0.5245	0.0000
Vicingus_m	1	Vicingus	0.3858	0.0000	0.0000	0.2479	0.9964	0.2863	0.6232	0.0000	0.6083	0.0000	0.0000	0.0000	0.0000	0.5529	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6769	0.0000	0.3098	0.0000	3.0842	0.0000	0.0000	0.0000	0.0000	0.0000	0.9215	0.0000	0.0000	0.0000	0.0000	1.3757	0.0000	0.5379	0.0000	0.4035	0.0000	0.0000
Sediminibacterium	1	Sediminibacterium	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2793	1.6661	0.0000	0.8835	0.5075	0.0000	0.8460	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.8008	0.4845	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.5907	0.6012	0.0000	0.0000	0.0000	0.0000	0.8303	0.0000	1.1132	0.0000	0.0000	0.0000	0.0000
GCA-2702655_m	1	GCA-2702655	0.4446	0.0000	0.7671	0.0000	0.0000	0.0000	0.0000	0.0000	0.6566	0.0000	0.3589	0.6758	0.1324	0.5099	0.1445	0.7791	0.4530	0.0000	0.0000	0.0000	1.3216	0.0000	0.4583	0.0000	0.6730	0.3754	0.4218	0.3191	0.4546	0.2306	0.0000	0.0000	0.0000	0.2244	0.3593	0.0000	0.0000	0.1701	0.4023	0.0000	0.2007	0.0000
Prosthecobacter	1	Prosthecobacter	0.0000	0.0000	0.0000	1.0016	0.0000	0.0000	0.0000	0.0000	0.4561	0.0000	0.4087	0.4330	0.0000	0.0000	0.0000	0.3223	0.3876	0.0000	0.0000	0.0000	0.0000	0.0000	0.4165	0.0000	0.7327	0.6057	0.0000	0.3509	0.4023	0.3194	0.8216	0.0000	0.4909	0.0000	0.0000	0.3305	0.0000	1.3001	1.1469	0.0000	0.0000	0.4481
GWE2-31-10_m	1		0.0000	0.0000	1.1561	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2285	0.3258	0.0000	0.0000	0.0000	0.2352	2.3578	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2775	0.8436	1.4911	0.0000	1.5641	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.2726	0.0000	0.0000	0.0000	0.5775
JAFEBO01_m	1	JAFEBO01	0.0000	0.0000	0.4691	0.0000	0.0000	0.0000	0.0000	0.3526	0.4729	0.0000	0.6296	0.7052	0.2360	0.3291	0.2256	0.7055	0.0000	0.0000	0.2606	0.3314	0.0000	0.3745	1.0691	0.0000	0.0000	0.4060	0.2647	0.3949	0.6488	0.4487	0.0000	0.0000	0.0000	1.0839	0.0000	0.0000	0.0000	0.0000	0.2982	0.0000	0.5215	0.0000
